real_map_size: 7273
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 25            , 100           , 0
[02-08 17:43], 25            , 100           , 0
[02-08 18:13], 25            , 100           , 0
[02-08 18:43], 25            , 100           , 0
[02-08 19:13], 25            , 100           , 0
[02-08 19:43], 25            , 100           , 0
[02-08 20:13], 25            , 100           , 0
[02-08 20:43], 25            , 100           , 0
[02-08 21:13], 25            , 100           , 0
[02-08 21:43], 25            , 100           , 0
[02-08 22:13], 25            , 100           , 0
[02-08 22:43], 25            , 100           , 0
[02-08 23:13], 25            , 100           , 0
[02-08 23:43], 25            , 100           , 0
[02-09 00:13], 25            , 100           , 0
[02-09 00:43], 25            , 100           , 0
[02-09 01:13], 25            , 100           , 0
[02-09 01:43], 25            , 100           , 0
[02-09 02:13], 25            , 100           , 0
[02-09 02:43], 25            , 100           , 0
[02-09 03:13], 25            , 100           , 0
[02-09 03:43], 25            , 100           , 0
[02-09 04:13], 25            , 100           , 0
[02-09 04:43], 25            , 100           , 0
[02-09 05:13], 25            , 100           , 0
[02-09 05:43], 25            , 100           , 0
[02-09 06:13], 25            , 100           , 0
[02-09 06:43], 25            , 100           , 0
[02-09 07:13], 25            , 100           , 0
[02-09 07:43], 25            , 100           , 0
[02-09 08:13], 25            , 100           , 0
[02-09 08:43], 25            , 100           , 0
[02-09 09:13], 25            , 100           , 0
[02-09 09:43], 25            , 100           , 0
[02-09 10:13], 25            , 100           , 0
[02-09 10:43], 25            , 100           , 0
[02-09 11:13], 25            , 100           , 0
[02-09 11:43], 25            , 100           , 0
[02-09 12:13], 25            , 100           , 0
[02-09 12:43], 25            , 100           , 0
[02-09 13:13], 25            , 100           , 0
[02-09 13:43], 25            , 100           , 0
[02-09 14:13], 25            , 100           , 0
[02-09 14:43], 25            , 100           , 0
[02-09 15:13], 25            , 100           , 0
[02-09 15:43], 25            , 100           , 0
[02-09 16:13], 25            , 100           , 0
[02-09 16:43], 25            , 100           , 0
[02-09 17:13], 25            , 100           , 0
[02-09 17:43], 25            , 100           , 0
[02-09 18:13], 25            , 100           , 0
[02-09 18:43], 25            , 100           , 0
[02-09 19:13], 25            , 100           , 0
[02-09 19:43], 25            , 100           , 0
[02-09 20:13], 25            , 100           , 0
[02-09 20:43], 25            , 100           , 0
[02-09 21:13], 25            , 100           , 0
[02-09 21:43], 25            , 100           , 0
[02-09 22:13], 25            , 100           , 0
[02-09 22:43], 25            , 100           , 0
[02-09 23:13], 25            , 100           , 0
[02-09 23:43], 25            , 100           , 0
[02-10 00:13], 25            , 100           , 0
[02-10 00:43], 25            , 100           , 0
[02-10 01:13], 25            , 100           , 0
[02-10 01:43], 25            , 100           , 0
[02-10 02:13], 25            , 100           , 0
[02-10 02:43], 25            , 100           , 0
[02-10 03:13], 25            , 100           , 0
[02-10 03:43], 25            , 100           , 0
[02-10 04:13], 25            , 100           , 0
[02-10 04:43], 25            , 100           , 0
[02-10 05:13], 25            , 100           , 0
[02-10 05:43], 25            , 100           , 0
[02-10 06:13], 25            , 100           , 0
[02-10 06:43], 25            , 100           , 0
[02-10 07:13], 25            , 100           , 0
[02-10 07:43], 25            , 100           , 0
[02-10 08:13], 25            , 100           , 0
[02-10 08:43], 25            , 100           , 0
[02-10 09:13], 25            , 100           , 0
[02-10 09:43], 25            , 100           , 0
[02-10 10:13], 25            , 100           , 0
[02-10 10:43], 25            , 100           , 0
[02-10 11:13], 25            , 100           , 0
[02-10 11:43], 25            , 100           , 0
[02-10 12:13], 25            , 100           , 0
[02-10 12:43], 25            , 100           , 0
[02-10 13:13], 25            , 100           , 0
[02-10 13:43], 25            , 100           , 0
[02-10 14:13], 25            , 100           , 0
