real_map_size: 3038
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 4             , 403           , 0
[02-08 17:43], 4             , 403           , 0
[02-08 18:13], 4             , 403           , 0
[02-08 18:43], 4             , 403           , 0
[02-08 19:13], 4             , 403           , 0
[02-08 19:43], 4             , 403           , 0
[02-08 20:13], 4             , 403           , 0
[02-08 20:43], 4             , 403           , 0
[02-08 21:13], 4             , 403           , 0
[02-08 21:43], 4             , 403           , 0
[02-08 22:13], 4             , 403           , 0
[02-08 22:43], 4             , 403           , 0
[02-08 23:13], 4             , 403           , 0
[02-08 23:43], 4             , 403           , 0
[02-09 00:13], 4             , 403           , 0
[02-09 00:43], 4             , 403           , 0
[02-09 01:13], 4             , 403           , 0
[02-09 01:43], 4             , 403           , 0
[02-09 02:13], 4             , 403           , 0
[02-09 02:43], 4             , 403           , 0
[02-09 03:13], 4             , 403           , 0
[02-09 03:43], 4             , 403           , 0
[02-09 04:13], 4             , 403           , 0
[02-09 04:43], 4             , 403           , 0
[02-09 05:13], 4             , 403           , 0
[02-09 05:43], 4             , 403           , 0
[02-09 06:13], 4             , 403           , 0
[02-09 06:43], 4             , 403           , 0
[02-09 07:13], 4             , 403           , 0
[02-09 07:43], 4             , 403           , 0
[02-09 08:13], 4             , 403           , 0
[02-09 08:43], 4             , 403           , 0
[02-09 09:13], 4             , 403           , 0
[02-09 09:43], 4             , 403           , 0
[02-09 10:13], 4             , 403           , 0
[02-09 10:43], 4             , 403           , 0
[02-09 11:13], 4             , 403           , 0
[02-09 11:43], 4             , 403           , 0
[02-09 12:13], 4             , 403           , 0
[02-09 12:43], 4             , 403           , 0
[02-09 13:13], 4             , 403           , 0
[02-09 13:43], 4             , 403           , 0
[02-09 14:13], 4             , 403           , 0
[02-09 14:43], 4             , 403           , 0
[02-09 15:13], 4             , 403           , 0
[02-09 15:43], 4             , 403           , 0
[02-09 16:13], 4             , 403           , 0
[02-09 16:43], 4             , 403           , 0
[02-09 17:13], 4             , 403           , 0
[02-09 17:43], 4             , 403           , 0
[02-09 18:13], 4             , 403           , 0
[02-09 18:43], 4             , 403           , 0
[02-09 19:13], 4             , 403           , 0
[02-09 19:43], 4             , 403           , 0
[02-09 20:13], 4             , 403           , 0
[02-09 20:43], 4             , 403           , 0
[02-09 21:13], 4             , 403           , 0
[02-09 21:43], 4             , 403           , 0
[02-09 22:13], 4             , 403           , 0
[02-09 22:43], 4             , 403           , 0
[02-09 23:13], 4             , 403           , 0
[02-09 23:43], 4             , 403           , 0
[02-10 00:13], 4             , 403           , 0
[02-10 00:43], 4             , 403           , 0
[02-10 01:13], 4             , 403           , 0
[02-10 01:43], 4             , 403           , 0
[02-10 02:13], 4             , 403           , 0
[02-10 02:43], 4             , 403           , 0
[02-10 03:13], 4             , 403           , 0
[02-10 03:43], 4             , 403           , 0
[02-10 04:13], 4             , 403           , 0
[02-10 04:43], 4             , 403           , 0
[02-10 05:13], 4             , 403           , 0
[02-10 05:43], 4             , 403           , 0
[02-10 06:13], 4             , 403           , 0
[02-10 06:43], 4             , 403           , 0
[02-10 07:13], 4             , 403           , 0
[02-10 07:43], 4             , 403           , 0
[02-10 08:13], 4             , 403           , 0
[02-10 08:43], 4             , 403           , 0
[02-10 09:13], 4             , 403           , 0
[02-10 09:43], 4             , 403           , 0
[02-10 10:13], 4             , 403           , 0
[02-10 10:43], 4             , 403           , 0
[02-10 11:13], 4             , 403           , 0
[02-10 11:43], 4             , 403           , 0
[02-10 12:13], 4             , 403           , 0
[02-10 12:43], 4             , 403           , 0
[02-10 13:13], 4             , 403           , 0
[02-10 13:43], 4             , 403           , 0
[02-10 14:13], 4             , 403           , 0
[02-10 14:43], 4             , 403           , 0
