real_map_size: 1389
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 78            , 411           , 0
[02-08 17:43], 983           , 533           , 0
[02-08 18:13], 1189          , 571           , 0
[02-08 18:43], 1271          , 586           , 0
[02-08 19:13], 1308          , 588           , 0
[02-08 19:43], 1328          , 592           , 0
[02-08 20:13], 1351          , 594           , 0
[02-08 20:43], 1360          , 596           , 0
[02-08 21:13], 1368          , 598           , 0
[02-08 21:43], 1377          , 599           , 0
[02-08 22:13], 1396          , 600           , 0
[02-08 22:43], 1401          , 601           , 0
[02-08 23:13], 1407          , 601           , 0
[02-08 23:43], 1414          , 602           , 0
[02-09 00:13], 1421          , 602           , 0
[02-09 00:43], 1426          , 603           , 0
[02-09 01:13], 1436          , 603           , 0
[02-09 01:43], 1443          , 603           , 0
[02-09 02:13], 1448          , 603           , 0
[02-09 02:43], 1454          , 603           , 0
[02-09 03:13], 1458          , 603           , 0
[02-09 03:43], 1462          , 603           , 0
[02-09 04:13], 1463          , 603           , 0
[02-09 04:43], 1465          , 603           , 0
[02-09 05:13], 1465          , 603           , 0
[02-09 05:43], 1468          , 603           , 0
[02-09 06:13], 1469          , 603           , 0
[02-09 06:43], 1475          , 603           , 0
[02-09 07:13], 1482          , 603           , 0
[02-09 07:43], 1484          , 603           , 0
[02-09 08:13], 1485          , 603           , 0
[02-09 08:43], 1488          , 603           , 0
[02-09 09:13], 1492          , 603           , 0
[02-09 09:43], 1492          , 603           , 0
[02-09 10:13], 1493          , 603           , 0
[02-09 10:43], 1495          , 603           , 0
[02-09 11:13], 1496          , 603           , 0
[02-09 11:43], 1497          , 603           , 0
[02-09 12:13], 1497          , 603           , 0
[02-09 12:43], 1498          , 603           , 0
[02-09 13:13], 1500          , 603           , 0
[02-09 13:43], 1502          , 603           , 0
[02-09 14:13], 1506          , 603           , 0
[02-09 14:43], 1510          , 603           , 0
[02-09 15:13], 1512          , 603           , 0
[02-09 15:43], 1517          , 603           , 0
[02-09 16:13], 1520          , 603           , 0
[02-09 16:43], 1522          , 603           , 0
[02-09 17:13], 1524          , 603           , 0
[02-09 17:43], 1528          , 603           , 0
[02-09 18:13], 1533          , 603           , 0
[02-09 18:43], 1534          , 603           , 0
[02-09 19:13], 1536          , 603           , 0
[02-09 19:43], 1537          , 603           , 0
[02-09 20:13], 1537          , 603           , 0
[02-09 20:43], 1537          , 603           , 0
[02-09 21:13], 1540          , 603           , 0
[02-09 21:43], 1540          , 603           , 0
[02-09 22:13], 1541          , 603           , 0
[02-09 22:43], 1542          , 603           , 0
[02-09 23:13], 1543          , 603           , 0
[02-09 23:43], 1543          , 603           , 0
[02-10 00:13], 1545          , 603           , 0
[02-10 00:43], 1545          , 603           , 0
[02-10 01:13], 1546          , 603           , 0
[02-10 01:43], 1547          , 603           , 0
[02-10 02:13], 1548          , 603           , 0
[02-10 02:43], 1549          , 603           , 0
[02-10 03:13], 1550          , 603           , 0
[02-10 03:43], 1552          , 603           , 0
[02-10 04:13], 1552          , 603           , 0
[02-10 04:43], 1552          , 603           , 0
[02-10 05:13], 1552          , 603           , 0
[02-10 05:43], 1553          , 603           , 0
[02-10 06:13], 1553          , 603           , 0
[02-10 06:43], 1553          , 603           , 0
[02-10 07:13], 1555          , 603           , 0
[02-10 07:43], 1556          , 603           , 0
[02-10 08:13], 1557          , 603           , 0
[02-10 08:43], 1557          , 603           , 0
[02-10 09:13], 1558          , 603           , 0
[02-10 09:43], 1559          , 603           , 0
[02-10 10:13], 1559          , 603           , 0
[02-10 10:43], 1559          , 603           , 0
[02-10 11:13], 1560          , 603           , 0
[02-10 11:43], 1565          , 603           , 0
[02-10 12:13], 1565          , 603           , 0
[02-10 12:43], 1566          , 603           , 0
[02-10 13:13], 1566          , 603           , 0
[02-10 13:43], 1566          , 603           , 0
[02-10 14:13], 1567          , 603           , 0
[02-10 14:43], 1568          , 603           , 0
