real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 214           , 1293          , 0
[02-08 17:43], 1126          , 1527          , 0
[02-08 18:13], 1227          , 1544          , 0
[02-08 18:43], 1299          , 1554          , 0
[02-08 19:13], 1426          , 1554          , 0
[02-08 19:43], 1472          , 1557          , 0
[02-08 20:13], 1522          , 1559          , 0
[02-08 20:43], 1564          , 1563          , 0
[02-08 21:13], 1587          , 1564          , 0
[02-08 21:43], 1615          , 1565          , 0
[02-08 22:13], 1635          , 1566          , 0
[02-08 22:43], 1654          , 1568          , 0
[02-08 23:13], 1667          , 1568          , 0
[02-08 23:43], 1746          , 1569          , 0
[02-09 00:13], 1760          , 1569          , 0
[02-09 00:43], 1771          , 1569          , 0
[02-09 01:13], 1783          , 1569          , 0
[02-09 01:43], 1793          , 1570          , 0
[02-09 02:13], 1804          , 1570          , 0
[02-09 02:43], 1810          , 1571          , 0
[02-09 03:13], 1817          , 1572          , 0
[02-09 03:43], 1821          , 1575          , 0
[02-09 04:13], 1875          , 1578          , 0
[02-09 04:43], 1909          , 1579          , 0
[02-09 05:13], 1926          , 1579          , 0
[02-09 05:43], 1968          , 1581          , 0
[02-09 06:13], 1998          , 1584          , 0
[02-09 06:43], 2029          , 1584          , 0
[02-09 07:13], 2050          , 1585          , 0
[02-09 07:43], 2057          , 1585          , 0
[02-09 08:13], 2061          , 1585          , 0
[02-09 08:43], 2069          , 1586          , 0
[02-09 09:13], 2077          , 1586          , 0
[02-09 09:43], 2085          , 1586          , 0
[02-09 10:13], 2092          , 1586          , 0
[02-09 10:43], 2102          , 1586          , 0
[02-09 11:13], 2108          , 1586          , 0
[02-09 11:43], 2121          , 1586          , 0
[02-09 12:13], 2125          , 1586          , 0
[02-09 12:43], 2147          , 1586          , 0
[02-09 13:13], 2149          , 1586          , 0
[02-09 13:43], 2151          , 1586          , 0
[02-09 14:13], 2155          , 1586          , 0
[02-09 14:43], 2155          , 1586          , 0
[02-09 15:13], 2156          , 1586          , 0
[02-09 15:43], 2157          , 1586          , 0
[02-09 16:13], 2159          , 1586          , 0
[02-09 16:43], 2161          , 1586          , 0
[02-09 17:13], 2161          , 1586          , 0
[02-09 17:43], 2161          , 1586          , 0
[02-09 18:13], 2163          , 1586          , 0
[02-09 18:43], 2164          , 1586          , 0
[02-09 19:13], 2171          , 1587          , 0
[02-09 19:43], 2173          , 1587          , 0
[02-09 20:13], 2174          , 1587          , 0
[02-09 20:43], 2176          , 1587          , 0
[02-09 21:13], 2181          , 1587          , 0
[02-09 21:43], 2184          , 1587          , 0
[02-09 22:13], 2185          , 1587          , 0
[02-09 22:43], 2186          , 1587          , 0
[02-09 23:13], 2188          , 1587          , 0
[02-09 23:43], 2190          , 1587          , 0
[02-10 00:13], 2194          , 1587          , 0
[02-10 00:43], 2196          , 1587          , 0
[02-10 01:13], 2198          , 1587          , 0
[02-10 01:43], 2203          , 1587          , 0
[02-10 02:13], 2207          , 1588          , 0
[02-10 02:43], 2211          , 1588          , 0
[02-10 03:13], 2212          , 1588          , 0
[02-10 03:43], 2213          , 1588          , 0
[02-10 04:13], 2217          , 1588          , 0
[02-10 04:43], 2217          , 1588          , 0
[02-10 05:13], 2218          , 1588          , 0
[02-10 05:43], 2219          , 1588          , 0
[02-10 06:13], 2221          , 1588          , 0
[02-10 06:43], 2221          , 1588          , 0
[02-10 07:13], 2222          , 1588          , 0
[02-10 07:43], 2223          , 1588          , 0
[02-10 08:13], 2224          , 1588          , 0
[02-10 08:43], 2224          , 1588          , 0
[02-10 09:13], 2225          , 1588          , 0
[02-10 09:43], 2227          , 1588          , 0
[02-10 10:13], 2227          , 1588          , 0
[02-10 10:43], 2227          , 1588          , 0
[02-10 11:13], 2228          , 1588          , 0
[02-10 11:43], 2229          , 1588          , 0
[02-10 12:13], 2231          , 1588          , 0
[02-10 12:43], 2232          , 1588          , 0
[02-10 13:13], 2232          , 1588          , 0
[02-10 13:43], 2232          , 1588          , 0
[02-10 14:13], 2234          , 1588          , 0
[02-10 14:43], 2234          , 1588          , 0
