[2025-04-01_16:53:30] Total Functions: 117621, Hited Functions: 477 [ 0.405540% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_16:54:31] Total Functions: 120124, Hited Functions: 8996 [ 7.488928% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_16:55:32] Total Functions: 120124, Hited Functions: 9000 [ 7.492258% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_16:56:33] Total Functions: 120124, Hited Functions: 9000 [ 7.492258% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_16:57:34] Total Functions: 120124, Hited Functions: 9000 [ 7.492258% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_16:58:35] Total Functions: 120143, Hited Functions: 9039 [ 7.523534% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_16:59:36] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:00:37] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:01:38] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:02:39] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:03:40] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:04:41] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:05:42] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:06:43] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:07:44] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:08:45] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:09:46] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:10:47] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:11:48] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:12:49] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:13:50] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:14:51] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:15:52] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:16:53] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:17:54] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:18:55] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:19:56] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:20:57] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:21:58] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-04-01_17:22:59] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
