real_map_size: 362927
loging--time, explored-paths, covered-blocks, crashes
[04-01 16:54], 31            , 12473         , 0
[04-01 17:24], 133           , 12808         , 0
[04-01 17:54], 156           , 12808         , 0
[04-01 18:24], 215           , 12808         , 0
[04-01 18:54], 252           , 12808         , 0
[04-01 19:24], 284           , 12808         , 0
[04-01 19:54], 314           , 12808         , 0
[04-01 20:24], 346           , 12808         , 0
[04-01 20:54], 424           , 12808         , 0
[04-01 21:24], 457           , 12808         , 0
[04-01 21:54], 491           , 12808         , 0
[04-01 22:24], 572           , 12808         , 0
[04-01 22:54], 619           , 12808         , 0
[04-01 23:24], 662           , 12808         , 0
[04-01 23:54], 710           , 12808         , 0
[04-02 00:24], 760           , 12808         , 0
[04-02 00:54], 796           , 12808         , 0
[04-02 01:24], 796           , 12808         , 0
[04-02 01:54], 796           , 12808         , 0
[04-02 02:24], 796           , 12808         , 0
[04-02 02:54], 796           , 12808         , 0
[04-02 03:24], 796           , 12808         , 0
[04-02 03:54], 1078          , 12808         , 0
[04-02 04:24], 1128          , 12808         , 0
[04-02 04:54], 1180          , 12808         , 0
[04-02 05:24], 1225          , 12808         , 0
[04-02 05:54], 1302          , 12808         , 0
[04-02 06:24], 1302          , 12808         , 0
[04-02 06:54], 1390          , 12808         , 0
[04-02 07:24], 1468          , 12808         , 0
[04-02 07:54], 1494          , 12808         , 0
[04-02 08:24], 1545          , 12808         , 0
[04-02 08:54], 1593          , 12808         , 0
[04-02 09:24], 1641          , 12808         , 0
[04-02 09:54], 1676          , 12808         , 0
[04-02 10:24], 1739          , 12808         , 0
[04-02 10:54], 1769          , 12808         , 0
[04-02 11:24], 1847          , 12808         , 0
[04-02 11:54], 1888          , 12808         , 0
[04-02 12:24], 1925          , 12808         , 0
[04-02 12:54], 1949          , 12808         , 0
[04-02 13:24], 1949          , 12808         , 0
[04-02 13:54], 2083          , 12808         , 0
[04-02 14:24], 2122          , 12808         , 0
[04-02 14:54], 2166          , 12808         , 0
[04-02 15:24], 2202          , 12808         , 0
[04-02 15:54], 2255          , 12808         , 0
[04-02 16:24], 2278          , 12808         , 0
