[2025-04-03_16:54:13] Total Functions: 8194, Hited Functions: 247 [ 3.014401% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_16:55:14] Total Functions: 8198, Hited Functions: 568 [ 6.928519% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_16:56:15] Total Functions: 8198, Hited Functions: 576 [ 7.026104% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_16:57:16] Total Functions: 8198, Hited Functions: 577 [ 7.038302% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_16:58:17] Total Functions: 8198, Hited Functions: 577 [ 7.038302% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_16:59:18] Total Functions: 8198, Hited Functions: 577 [ 7.038302% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:00:19] Total Functions: 8205, Hited Functions: 591 [ 7.202925% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:01:20] Total Functions: 8206, Hited Functions: 598 [ 7.287351% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:02:21] Total Functions: 8207, Hited Functions: 608 [ 7.408310% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:03:22] Total Functions: 8207, Hited Functions: 608 [ 7.408310% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:04:23] Total Functions: 8207, Hited Functions: 610 [ 7.432679% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:05:24] Total Functions: 8207, Hited Functions: 613 [ 7.469234% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:06:25] Total Functions: 8207, Hited Functions: 614 [ 7.481418% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:07:26] Total Functions: 8207, Hited Functions: 614 [ 7.481418% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:08:27] Total Functions: 8207, Hited Functions: 614 [ 7.481418% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:09:28] Total Functions: 8208, Hited Functions: 619 [ 7.541423% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:10:29] Total Functions: 8208, Hited Functions: 631 [ 7.687622% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:11:30] Total Functions: 8208, Hited Functions: 638 [ 7.772904% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:12:31] Total Functions: 8208, Hited Functions: 641 [ 7.809454% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:13:32] Total Functions: 8208, Hited Functions: 641 [ 7.809454% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:14:33] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:15:34] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:16:35] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:17:36] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:18:37] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:19:38] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:20:39] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:21:40] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:22:41] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:23:42] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:24:43] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:25:44] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:26:45] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:27:46] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:28:47] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:29:48] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:30:49] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:31:50] Total Functions: 8208, Hited Functions: 644 [ 7.846004% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:32:51] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:33:52] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:34:53] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:35:54] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:36:55] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:37:56] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:38:57] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:39:58] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:40:59] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-04-03_17:42:00] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
