real_map_size: 243410
loging--time, explored-paths, covered-blocks, crashes
[04-03 16:54], 207           , 3827          , 0
[04-03 17:24], 1901          , 5572          , 0
[04-03 17:54], 2477          , 5966          , 0
[04-03 18:24], 4092          , 7794          , 0
[04-03 18:54], 5214          , 9389          , 0
[04-03 19:24], 5810          , 9933          , 0
[04-03 19:54], 6395          , 10466         , 0
[04-03 20:24], 7444          , 12063         , 0
[04-03 20:54], 8399          , 12807         , 0
[04-03 21:24], 9193          , 13254         , 0
[04-03 21:54], 10043         , 13854         , 0
[04-03 22:24], 10724         , 15062         , 0
[04-03 22:54], 12097         , 16889         , 0
[04-03 23:24], 13325         , 17600         , 0
[04-03 23:54], 14257         , 17877         , 0
[04-04 00:24], 15579         , 19231         , 0
[04-04 00:54], 17483         , 21732         , 0
[04-04 01:24], 18892         , 22399         , 0
[04-04 01:54], 19781         , 22610         , 0
[04-04 02:24], 20650         , 23901         , 0
[04-04 02:54], 21428         , 24104         , 0
[04-04 03:24], 22476         , 24736         , 0
[04-04 03:54], 23133         , 24949         , 0
[04-04 04:24], 23914         , 25203         , 0
[04-04 04:54], 24555         , 25414         , 0
[04-04 05:24], 25131         , 25590         , 0
[04-04 05:54], 25598         , 25757         , 0
[04-04 06:24], 26371         , 26822         , 0
[04-04 06:54], 26795         , 26905         , 0
[04-04 07:24], 27184         , 26940         , 0
[04-04 07:54], 27422         , 27151         , 0
[04-04 08:24], 27766         , 27211         , 0
[04-04 08:54], 28078         , 27250         , 0
[04-04 09:24], 28427         , 27315         , 0
[04-04 09:54], 28732         , 27410         , 0
[04-04 10:24], 29041         , 27801         , 0
[04-04 10:54], 29286         , 27998         , 0
[04-04 11:24], 29586         , 28113         , 0
[04-04 11:54], 29861         , 28194         , 0
[04-04 12:24], 30084         , 28207         , 0
[04-04 12:54], 30293         , 28259         , 0
[04-04 13:24], 30533         , 28286         , 0
[04-04 13:54], 30671         , 28309         , 0
[04-04 14:24], 30868         , 28320         , 0
[04-04 14:54], 31046         , 28323         , 0
[04-04 15:24], 31181         , 28323         , 0
[04-04 15:54], 31357         , 28326         , 0
[04-04 16:24], 31501         , 28329         , 0
