[2025-04-01_16:53:25] Total Functions: 793, Hited Functions: 275 [ 34.678436% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_16:54:26] Total Functions: 1000, Hited Functions: 528 [ 52.800000% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_16:55:27] Total Functions: 1009, Hited Functions: 537 [ 53.221011% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_16:56:28] Total Functions: 1040, Hited Functions: 568 [ 54.615385% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_16:57:29] Total Functions: 1054, Hited Functions: 582 [ 55.218216% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_16:58:30] Total Functions: 1081, Hited Functions: 609 [ 56.336725% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_16:59:31] Total Functions: 1083, Hited Functions: 611 [ 56.417359% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:00:32] Total Functions: 1087, Hited Functions: 615 [ 56.577737% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:01:33] Total Functions: 1089, Hited Functions: 617 [ 56.657484% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:02:34] Total Functions: 1093, Hited Functions: 621 [ 56.816102% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:03:35] Total Functions: 1093, Hited Functions: 621 [ 56.816102% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:04:36] Total Functions: 1093, Hited Functions: 621 [ 56.816102% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:05:37] Total Functions: 1093, Hited Functions: 621 [ 56.816102% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:06:38] Total Functions: 1105, Hited Functions: 633 [ 57.285068% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:07:39] Total Functions: 1107, Hited Functions: 635 [ 57.362240% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:08:40] Total Functions: 1109, Hited Functions: 637 [ 57.439134% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:09:41] Total Functions: 1111, Hited Functions: 639 [ 57.515752% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:10:42] Total Functions: 1112, Hited Functions: 640 [ 57.553957% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:11:43] Total Functions: 1115, Hited Functions: 643 [ 57.668161% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:12:44] Total Functions: 1115, Hited Functions: 643 [ 57.668161% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:13:45] Total Functions: 1116, Hited Functions: 644 [ 57.706093% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:14:46] Total Functions: 1116, Hited Functions: 644 [ 57.706093% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:15:47] Total Functions: 1139, Hited Functions: 669 [ 58.735733% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:16:48] Total Functions: 1139, Hited Functions: 669 [ 58.735733% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:17:49] Total Functions: 1139, Hited Functions: 669 [ 58.735733% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:18:50] Total Functions: 1142, Hited Functions: 672 [ 58.844133% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:19:51] Total Functions: 1142, Hited Functions: 672 [ 58.844133% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:20:52] Total Functions: 1145, Hited Functions: 675 [ 58.951965% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:21:53] Total Functions: 1151, Hited Functions: 681 [ 59.165943% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:22:54] Total Functions: 1151, Hited Functions: 681 [ 59.165943% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:23:55] Total Functions: 1152, Hited Functions: 682 [ 59.201389% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:24:56] Total Functions: 1152, Hited Functions: 682 [ 59.201389% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:25:57] Total Functions: 1152, Hited Functions: 682 [ 59.201389% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:26:58] Total Functions: 1152, Hited Functions: 682 [ 59.201389% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:27:59] Total Functions: 1152, Hited Functions: 682 [ 59.201389% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:29:00] Total Functions: 1152, Hited Functions: 682 [ 59.201389% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:30:01] Total Functions: 1153, Hited Functions: 683 [ 59.236774% ], Hited Edges: 0, Total Edges: 2056
[2025-04-01_17:31:02] Total Functions: 1154, Hited Functions: 684 [ 59.272097% ], Hited Edges: 0, Total Edges: 2056
