real_map_size: 81502
loging--time, explored-paths, covered-blocks, crashes
[04-01 16:53], 26            , 2437          , 0
[04-01 17:23], 773           , 3624          , 0
[04-01 17:53], 1000          , 3675          , 0
[04-01 18:23], 1235          , 3724          , 0
[04-01 18:53], 1597          , 4240          , 0
[04-01 19:23], 1795          , 4253          , 0
[04-01 19:53], 1949          , 4265          , 0
[04-01 20:23], 2074          , 4280          , 0
[04-01 20:53], 2175          , 4289          , 0
[04-01 21:23], 2272          , 4347          , 0
[04-01 21:53], 2369          , 4352          , 0
[04-01 22:23], 2573          , 4400          , 0
[04-01 22:53], 2669          , 4401          , 0
[04-01 23:23], 2789          , 4412          , 0
[04-01 23:53], 2879          , 4416          , 0
[04-02 00:23], 2965          , 4419          , 0
[04-02 00:53], 3046          , 4424          , 0
[04-02 01:23], 3128          , 4424          , 0
[04-02 01:53], 3233          , 4429          , 0
[04-02 02:23], 3297          , 4463          , 0
[04-02 02:53], 3356          , 4463          , 0
[04-02 03:23], 3425          , 4463          , 0
[04-02 03:53], 3515          , 4463          , 0
[04-02 04:23], 3593          , 4463          , 0
[04-02 04:53], 3659          , 4463          , 0
[04-02 05:23], 3738          , 4463          , 0
[04-02 05:53], 3799          , 4467          , 0
[04-02 06:23], 3845          , 4468          , 0
[04-02 06:53], 3916          , 4477          , 0
[04-02 07:23], 4005          , 4486          , 0
[04-02 07:53], 4050          , 4486          , 0
[04-02 08:23], 4117          , 4487          , 0
[04-02 08:53], 4192          , 4492          , 0
[04-02 09:23], 4322          , 4545          , 0
[04-02 09:53], 4429          , 4561          , 0
[04-02 10:23], 4480          , 4565          , 0
[04-02 10:53], 4542          , 4566          , 0
[04-02 11:23], 4580          , 4571          , 0
[04-02 11:53], 4634          , 4572          , 0
[04-02 12:23], 4697          , 4650          , 0
[04-02 12:53], 4724          , 4651          , 0
[04-02 13:23], 4764          , 4652          , 0
[04-02 13:53], 4782          , 4653          , 0
[04-02 14:23], 4840          , 4666          , 0
[04-02 14:53], 4908          , 4668          , 0
[04-02 15:23], 4944          , 4668          , 0
[04-02 15:53], 4981          , 4669          , 0
[04-02 16:23], 5021          , 4669          , 0
