real_map_size: 13621
loging--time, explored-paths, covered-blocks, crashes
[04-01 16:53], 10            , 292           , 0
[04-01 17:23], 82            , 292           , 0
[04-01 17:53], 148           , 292           , 0
[04-01 18:23], 224           , 292           , 0
[04-01 18:53], 309           , 292           , 0
[04-01 19:23], 375           , 292           , 0
[04-01 19:53], 456           , 292           , 0
[04-01 20:23], 527           , 292           , 0
[04-01 20:53], 591           , 292           , 0
[04-01 21:23], 650           , 292           , 0
[04-01 21:53], 682           , 292           , 0
[04-01 22:23], 682           , 292           , 0
[04-01 22:53], 682           , 292           , 0
[04-01 23:23], 682           , 292           , 0
[04-01 23:53], 682           , 292           , 0
[04-02 00:23], 682           , 292           , 0
[04-02 00:53], 682           , 292           , 0
[04-02 01:23], 682           , 292           , 0
[04-02 01:53], 682           , 292           , 0
[04-02 02:23], 682           , 292           , 0
[04-02 02:53], 682           , 292           , 0
[04-02 03:23], 682           , 292           , 0
[04-02 03:53], 682           , 292           , 0
[04-02 04:23], 682           , 292           , 0
[04-02 04:53], 682           , 292           , 0
[04-02 05:23], 682           , 292           , 0
[04-02 05:53], 682           , 292           , 0
[04-02 06:23], 682           , 292           , 0
[04-02 06:53], 682           , 292           , 0
[04-02 07:23], 682           , 292           , 0
[04-02 07:53], 682           , 292           , 0
[04-02 08:23], 682           , 292           , 0
[04-02 08:53], 682           , 292           , 0
[04-02 09:23], 682           , 292           , 0
[04-02 09:53], 682           , 292           , 0
[04-02 10:23], 682           , 292           , 0
[04-02 10:53], 682           , 292           , 0
[04-02 11:23], 682           , 292           , 0
[04-02 11:53], 682           , 292           , 0
[04-02 12:23], 682           , 292           , 0
[04-02 12:53], 682           , 292           , 0
[04-02 13:23], 682           , 292           , 0
[04-02 13:53], 682           , 292           , 0
[04-02 14:23], 682           , 292           , 0
[04-02 14:53], 682           , 292           , 0
[04-02 15:23], 682           , 292           , 0
[04-02 15:53], 682           , 292           , 0
[04-02 16:23], 682           , 292           , 0
