real_map_size: 7027
loging--time, explored-paths, covered-blocks, crashes
[04-03 16:54], 123           , 411           , 0
[04-03 17:24], 324           , 480           , 0
[04-03 17:54], 381           , 480           , 0
[04-03 18:24], 425           , 480           , 0
[04-03 18:54], 441           , 484           , 0
[04-03 19:24], 469           , 484           , 0
[04-03 19:54], 487           , 484           , 0
[04-03 20:24], 513           , 484           , 0
[04-03 20:54], 543           , 484           , 0
[04-03 21:24], 565           , 484           , 0
[04-03 21:54], 590           , 484           , 0
[04-03 22:24], 614           , 485           , 0
[04-03 22:54], 642           , 485           , 0
[04-03 23:24], 678           , 486           , 0
[04-03 23:54], 701           , 486           , 0
[04-04 00:24], 740           , 486           , 0
[04-04 00:54], 756           , 486           , 0
[04-04 01:24], 765           , 486           , 0
[04-04 01:54], 785           , 486           , 0
[04-04 02:24], 804           , 486           , 0
[04-04 02:54], 832           , 486           , 0
[04-04 03:24], 856           , 486           , 0
[04-04 03:54], 865           , 486           , 0
[04-04 04:24], 890           , 486           , 0
[04-04 04:54], 908           , 486           , 0
[04-04 05:24], 930           , 486           , 0
[04-04 05:54], 948           , 486           , 0
[04-04 06:24], 965           , 486           , 0
[04-04 06:54], 980           , 486           , 0
[04-04 07:24], 999           , 486           , 0
[04-04 07:54], 1025          , 486           , 0
[04-04 08:24], 1047          , 486           , 0
[04-04 08:54], 1067          , 486           , 0
[04-04 09:24], 1090          , 486           , 0
[04-04 09:54], 1111          , 486           , 0
[04-04 10:24], 1138          , 495           , 0
[04-04 10:54], 1168          , 495           , 0
[04-04 11:24], 1186          , 495           , 0
[04-04 11:54], 1224          , 501           , 0
[04-04 12:24], 1248          , 501           , 0
[04-04 12:54], 1267          , 501           , 0
[04-04 13:24], 1290          , 504           , 0
[04-04 13:54], 1311          , 504           , 0
[04-04 14:24], 1336          , 504           , 0
[04-04 14:54], 1365          , 504           , 0
[04-04 15:24], 1382          , 504           , 0
[04-04 15:54], 1396          , 504           , 0
[04-04 16:24], 1418          , 504           , 0
