[2025-04-02_16:53:52] Total Functions: 2325, Hited Functions: 165 [ 7.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_16:54:53] Total Functions: 2325, Hited Functions: 326 [ 14.021505% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_16:55:54] Total Functions: 2325, Hited Functions: 327 [ 14.064516% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_16:56:55] Total Functions: 2325, Hited Functions: 328 [ 14.107527% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_16:57:56] Total Functions: 2325, Hited Functions: 337 [ 14.494624% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_16:58:57] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_16:59:58] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:00:59] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:02:00] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:03:01] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:04:02] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:05:03] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:06:04] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:07:05] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:08:06] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:09:07] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:10:08] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:11:09] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:12:10] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:13:11] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:14:12] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:15:13] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:16:14] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:17:15] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:18:16] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:19:17] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:20:18] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:21:19] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-04-02_17:22:20] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
