real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[04-02 16:54], 770           , 2767          , 0
[04-02 17:24], 4185          , 4095          , 0
[04-02 17:54], 5125          , 4170          , 0
[04-02 18:24], 5729          , 4188          , 0
[04-02 18:54], 6099          , 4200          , 0
[04-02 19:24], 6528          , 4248          , 0
[04-02 19:54], 7039          , 4296          , 0
[04-02 20:24], 7402          , 4309          , 0
[04-02 20:54], 7743          , 4340          , 0
[04-02 21:24], 7990          , 4356          , 0
[04-02 21:54], 8122          , 4357          , 0
[04-02 22:24], 8276          , 4374          , 0
[04-02 22:54], 8426          , 4377          , 0
[04-02 23:24], 8574          , 4379          , 0
[04-02 23:54], 8722          , 4380          , 0
[04-03 00:24], 8835          , 4381          , 0
[04-03 00:54], 8968          , 4383          , 0
[04-03 01:24], 9108          , 4395          , 0
[04-03 01:54], 9261          , 4403          , 0
[04-03 02:24], 9376          , 4406          , 0
[04-03 02:54], 9510          , 4412          , 0
[04-03 03:24], 9647          , 4414          , 0
[04-03 03:54], 9772          , 4416          , 0
[04-03 04:24], 9899          , 4421          , 0
[04-03 04:54], 9991          , 4423          , 0
[04-03 05:24], 10085         , 4426          , 0
[04-03 05:54], 10197         , 4431          , 0
[04-03 06:24], 10288         , 4431          , 0
[04-03 06:54], 10375         , 4433          , 0
[04-03 07:24], 10486         , 4435          , 0
[04-03 07:54], 10590         , 4437          , 0
[04-03 08:24], 10684         , 4443          , 0
[04-03 08:54], 10789         , 4443          , 0
[04-03 09:24], 10887         , 4443          , 0
[04-03 09:54], 11019         , 4448          , 0
[04-03 10:24], 11140         , 4454          , 0
[04-03 10:54], 11255         , 4456          , 0
[04-03 11:24], 11377         , 4456          , 0
[04-03 11:54], 11518         , 4459          , 0
[04-03 12:24], 11747         , 4511          , 0
[04-03 12:54], 11869         , 4512          , 0
[04-03 13:24], 11979         , 4516          , 0
[04-03 13:54], 12116         , 4523          , 0
[04-03 14:24], 12229         , 4533          , 0
[04-03 14:54], 12337         , 4537          , 0
[04-03 15:24], 12459         , 4544          , 0
[04-03 15:54], 12570         , 4544          , 0
[04-03 16:24], 12689         , 4549          , 0
