real_map_size: 676
loging--time, explored-paths, covered-blocks, crashes
[04-02 16:54], 133           , 146           , 0
[04-02 17:24], 568           , 231           , 0
[04-02 17:54], 744           , 231           , 0
[04-02 18:24], 934           , 231           , 0
[04-02 18:54], 1045          , 232           , 0
[04-02 19:24], 1156          , 232           , 0
[04-02 19:54], 1246          , 232           , 0
[04-02 20:24], 1344          , 232           , 0
[04-02 20:54], 1466          , 232           , 0
[04-02 21:24], 1586          , 232           , 0
[04-02 21:54], 1695          , 232           , 0
[04-02 22:24], 1790          , 232           , 0
[04-02 22:54], 1879          , 232           , 0
[04-02 23:24], 1968          , 232           , 0
[04-02 23:54], 2066          , 232           , 0
[04-03 00:24], 2160          , 232           , 0
[04-03 00:54], 2279          , 232           , 0
[04-03 01:24], 2397          , 232           , 0
[04-03 01:54], 2513          , 232           , 0
[04-03 02:24], 2616          , 232           , 0
[04-03 02:54], 2736          , 232           , 0
[04-03 03:24], 2843          , 232           , 0
[04-03 03:54], 2966          , 232           , 0
[04-03 04:24], 3088          , 232           , 0
[04-03 04:54], 3187          , 232           , 0
[04-03 05:24], 3277          , 232           , 0
[04-03 05:54], 3396          , 232           , 0
[04-03 06:24], 3504          , 232           , 0
[04-03 06:54], 3610          , 232           , 0
[04-03 07:24], 3704          , 232           , 0
[04-03 07:54], 3836          , 232           , 0
[04-03 08:24], 3946          , 232           , 0
[04-03 08:54], 4045          , 232           , 0
[04-03 09:24], 4149          , 232           , 0
[04-03 09:54], 4251          , 232           , 0
[04-03 10:24], 4346          , 232           , 0
[04-03 10:54], 4448          , 232           , 0
[04-03 11:24], 4558          , 232           , 0
[04-03 11:54], 4663          , 232           , 0
[04-03 12:24], 4775          , 232           , 0
[04-03 12:54], 4885          , 232           , 0
[04-03 13:24], 4973          , 232           , 0
[04-03 13:54], 5108          , 232           , 0
[04-03 14:24], 5229          , 232           , 0
[04-03 14:54], 5321          , 232           , 0
[04-03 15:24], 5403          , 232           , 0
[04-03 15:54], 5513          , 232           , 0
[04-03 16:24], 5614          , 232           , 0
