[2025-04-03_16:54:20] Total Functions: 83, Hited Functions: 11 [ 13.253012% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_16:55:21] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_16:56:22] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_16:57:23] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_16:58:24] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_16:59:25] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:00:26] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:01:27] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:02:28] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:03:29] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:04:30] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:05:31] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:06:32] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:07:33] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:08:34] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:09:35] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:10:36] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:11:37] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:12:38] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:13:39] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:14:40] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:15:41] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:16:42] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:17:43] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:18:44] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:19:45] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:20:46] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:21:47] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:22:48] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:23:49] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:24:50] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:25:51] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:26:52] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:27:53] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:28:54] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:29:55] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:30:56] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:31:57] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:32:58] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:33:59] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:35:00] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:36:01] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:37:02] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:38:03] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:39:04] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:40:05] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:41:06] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:42:07] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:43:08] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:44:09] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:45:10] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:46:11] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:47:12] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:48:13] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:49:14] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:50:15] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:51:16] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
[2025-04-03_17:52:17] Total Functions: 83, Hited Functions: 13 [ 15.662651% ], Hited Edges: 0, Total Edges: 120
