real_map_size: 1612
loging--time, explored-paths, covered-blocks, crashes
[04-03 16:54], 97            , 294           , 0
[04-03 17:24], 286           , 313           , 0
[04-03 17:54], 341           , 316           , 0
[04-03 18:24], 388           , 316           , 0
[04-03 18:54], 431           , 316           , 0
[04-03 19:24], 459           , 316           , 0
[04-03 19:54], 489           , 316           , 0
[04-03 20:24], 527           , 316           , 0
[04-03 20:54], 582           , 324           , 0
[04-03 21:24], 617           , 324           , 0
[04-03 21:54], 655           , 324           , 0
[04-03 22:24], 687           , 324           , 0
[04-03 22:54], 723           , 324           , 0
[04-03 23:24], 763           , 324           , 0
[04-03 23:54], 800           , 324           , 0
[04-04 00:24], 830           , 324           , 0
[04-04 00:54], 874           , 324           , 0
[04-04 01:24], 918           , 324           , 0
[04-04 01:54], 950           , 324           , 0
[04-04 02:24], 983           , 324           , 0
[04-04 02:54], 1011          , 324           , 0
[04-04 03:24], 1050          , 324           , 0
[04-04 03:54], 1087          , 324           , 0
[04-04 04:24], 1125          , 324           , 0
[04-04 04:54], 1162          , 324           , 0
[04-04 05:24], 1207          , 324           , 0
[04-04 05:54], 1257          , 324           , 0
[04-04 06:24], 1300          , 324           , 0
[04-04 06:54], 1338          , 324           , 0
[04-04 07:24], 1381          , 324           , 0
[04-04 07:54], 1417          , 324           , 0
[04-04 08:24], 1454          , 324           , 0
[04-04 08:54], 1498          , 324           , 0
[04-04 09:24], 1527          , 324           , 0
[04-04 09:54], 1563          , 324           , 0
[04-04 10:24], 1602          , 324           , 0
[04-04 10:54], 1625          , 324           , 0
[04-04 11:24], 1655          , 324           , 0
[04-04 11:54], 1693          , 324           , 0
[04-04 12:24], 1719          , 324           , 0
[04-04 12:54], 1751          , 324           , 0
[04-04 13:24], 1777          , 324           , 0
[04-04 13:54], 1806          , 324           , 0
[04-04 14:24], 1834          , 324           , 0
[04-04 14:54], 1870          , 324           , 0
[04-04 15:24], 1908          , 324           , 0
[04-04 15:54], 1942          , 324           , 0
[04-04 16:24], 1977          , 324           , 0
