real_map_size: 17572
loging--time, explored-paths, covered-blocks, crashes
[04-01 16:53], 13            , 385           , 0
[04-01 17:23], 60            , 385           , 0
[04-01 17:53], 101           , 385           , 0
[04-01 18:23], 138           , 385           , 0
[04-01 18:53], 163           , 385           , 0
[04-01 19:23], 204           , 385           , 0
[04-01 19:53], 241           , 385           , 0
[04-01 20:23], 290           , 385           , 0
[04-01 20:53], 334           , 385           , 0
[04-01 21:23], 388           , 385           , 0
[04-01 21:53], 428           , 385           , 0
[04-01 22:23], 476           , 385           , 0
[04-01 22:53], 523           , 385           , 0
[04-01 23:23], 556           , 385           , 0
[04-01 23:53], 600           , 385           , 0
[04-02 00:23], 660           , 385           , 0
[04-02 00:53], 715           , 385           , 0
[04-02 01:23], 753           , 385           , 0
[04-02 01:53], 797           , 385           , 0
[04-02 02:23], 856           , 385           , 0
[04-02 02:53], 910           , 385           , 0
[04-02 03:23], 960           , 385           , 0
[04-02 03:53], 1009          , 385           , 0
[04-02 04:23], 1061          , 385           , 0
[04-02 04:53], 1100          , 385           , 0
[04-02 05:23], 1151          , 385           , 0
[04-02 05:53], 1203          , 385           , 0
[04-02 06:23], 1258          , 385           , 0
[04-02 06:53], 1288          , 385           , 0
[04-02 07:23], 1334          , 385           , 0
[04-02 07:53], 1372          , 385           , 0
[04-02 08:23], 1414          , 385           , 0
[04-02 08:53], 1476          , 385           , 0
[04-02 09:23], 1518          , 385           , 0
[04-02 09:53], 1561          , 385           , 0
[04-02 10:23], 1626          , 385           , 0
[04-02 10:53], 1654          , 385           , 0
[04-02 11:23], 1704          , 385           , 0
[04-02 11:53], 1741          , 385           , 0
[04-02 12:23], 1777          , 385           , 0
[04-02 12:53], 1822          , 385           , 0
[04-02 13:23], 1866          , 385           , 0
[04-02 13:53], 1907          , 385           , 0
[04-02 14:23], 1963          , 385           , 0
[04-02 14:53], 2012          , 385           , 0
[04-02 15:23], 2064          , 385           , 0
[04-02 15:53], 2109          , 385           , 0
[04-02 16:23], 2145          , 385           , 0
