[2025-04-03_16:54:17] Total Functions: 1953, Hited Functions: 69 [ 3.533026% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_16:55:18] Total Functions: 1955, Hited Functions: 154 [ 7.877238% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_16:56:19] Total Functions: 1955, Hited Functions: 154 [ 7.877238% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_16:57:20] Total Functions: 1955, Hited Functions: 155 [ 7.928389% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_16:58:21] Total Functions: 1955, Hited Functions: 155 [ 7.928389% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_16:59:22] Total Functions: 1955, Hited Functions: 155 [ 7.928389% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:00:23] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:01:24] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:02:25] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:03:26] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:04:27] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:05:28] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:06:29] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:07:30] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:08:31] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:09:32] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:10:33] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:11:34] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:12:35] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:13:36] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:14:37] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:15:38] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:16:39] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:17:40] Total Functions: 1955, Hited Functions: 174 [ 8.900256% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:18:41] Total Functions: 1955, Hited Functions: 175 [ 8.951407% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:19:42] Total Functions: 1955, Hited Functions: 175 [ 8.951407% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:20:43] Total Functions: 1955, Hited Functions: 175 [ 8.951407% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:21:44] Total Functions: 1955, Hited Functions: 177 [ 9.053708% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:22:45] Total Functions: 1955, Hited Functions: 181 [ 9.258312% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:23:46] Total Functions: 1955, Hited Functions: 181 [ 9.258312% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:24:47] Total Functions: 1955, Hited Functions: 181 [ 9.258312% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:25:48] Total Functions: 1955, Hited Functions: 181 [ 9.258312% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:26:49] Total Functions: 1955, Hited Functions: 181 [ 9.258312% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:27:50] Total Functions: 1955, Hited Functions: 181 [ 9.258312% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:28:51] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:29:52] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:30:53] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:31:54] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:32:55] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:33:56] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:34:57] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:35:58] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:36:59] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:38:00] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
[2025-04-03_17:39:01] Total Functions: 1955, Hited Functions: 183 [ 9.360614% ], Hited Edges: 0, Total Edges: 3666
