real_map_size: 14161
loging--time, explored-paths, covered-blocks, crashes
[04-03 16:54], 169           , 2089          , 6
[04-03 17:24], 1061          , 3800          , 155
[04-03 17:54], 1636          , 4337          , 366
[04-03 18:24], 2308          , 4848          , 1119
[04-03 18:54], 2643          , 5006          , 1336
[04-03 19:24], 2889          , 5063          , 1619
[04-03 19:54], 3105          , 5118          , 2133
[04-03 20:24], 3411          , 5358          , 2397
[04-03 20:54], 3641          , 5393          , 2682
[04-03 21:24], 3797          , 5435          , 2770
[04-03 21:54], 3939          , 5485          , 2871
[04-03 22:24], 4078          , 5497          , 2996
[04-03 22:54], 4203          , 5512          , 3078
[04-03 23:24], 4310          , 5528          , 3219
[04-03 23:54], 4399          , 5543          , 3299
[04-04 00:24], 4487          , 5548          , 3368
[04-04 00:54], 4758          , 5584          , 3461
[04-04 01:24], 5040          , 5587          , 3523
[04-04 01:54], 5151          , 5616          , 3580
[04-04 02:24], 5227          , 5617          , 3631
[04-04 02:54], 5357          , 5648          , 3869
[04-04 03:24], 5488          , 5672          , 3924
[04-04 03:54], 5557          , 5678          , 3974
[04-04 04:24], 5631          , 5680          , 4017
[04-04 04:54], 5716          , 5683          , 4121
[04-04 05:24], 5800          , 5689          , 4210
[04-04 05:54], 5878          , 5697          , 4294
[04-04 06:24], 5970          , 5704          , 4461
[04-04 06:54], 6034          , 5708          , 4508
[04-04 07:24], 6113          , 5718          , 4598
[04-04 07:54], 6185          , 5724          , 4669
[04-04 08:24], 6264          , 5725          , 4737
[04-04 08:54], 6347          , 5730          , 4903
[04-04 09:24], 6417          , 5732          , 5003
[04-04 09:54], 6521          , 5744          , 5074
[04-04 10:24], 6608          , 5745          , 5120
[04-04 10:54], 6682          , 5751          , 5181
[04-04 11:24], 6782          , 5755          , 5262
[04-04 11:54], 6865          , 5757          , 5330
[04-04 12:24], 6980          , 5763          , 5388
[04-04 12:54], 7110          , 5789          , 5441
[04-04 13:24], 7182          , 5794          , 5471
[04-04 13:54], 7232          , 5801          , 5542
[04-04 14:24], 7312          , 5805          , 5668
[04-04 14:54], 7432          , 5816          , 5732
[04-04 15:24], 7541          , 5825          , 5860
[04-04 15:54], 7624          , 5830          , 5921
[04-04 16:24], 7719          , 5833          , 6004
