[2025-04-03_16:54:16] Total Functions: 2150, Hited Functions: 174 [ 8.093023% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_16:55:17] Total Functions: 2157, Hited Functions: 371 [ 17.199815% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_16:56:18] Total Functions: 2157, Hited Functions: 373 [ 17.292536% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_16:57:19] Total Functions: 2157, Hited Functions: 375 [ 17.385257% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_16:58:20] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_16:59:21] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:00:22] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:01:23] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:02:24] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:03:25] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:04:26] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:05:27] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:06:28] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:07:29] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:08:30] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:09:31] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:10:32] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:11:33] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:12:34] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:13:35] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:14:36] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:15:37] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:16:38] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:17:39] Total Functions: 2158, Hited Functions: 380 [ 17.608897% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:18:40] Total Functions: 2158, Hited Functions: 381 [ 17.655236% ], Hited Edges: 0, Total Edges: 5582
[2025-04-03_17:19:41] Total Functions: 2158, Hited Functions: 381 [ 17.655236% ], Hited Edges: 0, Total Edges: 5582
