real_map_size: 15695
loging--time, explored-paths, covered-blocks, crashes
[04-03 16:54], 168           , 1964          , 24
[04-03 17:24], 977           , 2229          , 416
[04-03 17:54], 1195          , 2248          , 665
[04-03 18:24], 1394          , 2268          , 1158
[04-03 18:54], 1531          , 2271          , 1685
[04-03 19:24], 1665          , 2277          , 2203
[04-03 19:54], 1789          , 2285          , 2714
[04-03 20:24], 1914          , 2301          , 3235
[04-03 20:54], 2027          , 2311          , 3793
[04-03 21:24], 2127          , 2317          , 4353
[04-03 21:54], 2229          , 2318          , 4920
[04-03 22:24], 2294          , 2318          , 5568
[04-03 22:54], 2371          , 2320          , 6125
[04-03 23:24], 2458          , 2320          , 6708
[04-03 23:54], 2534          , 2349          , 7232
[04-04 00:24], 2615          , 2356          , 7758
[04-04 00:54], 2727          , 2365          , 8418
[04-04 01:24], 2845          , 2367          , 8913
[04-04 01:54], 2930          , 2370          , 9533
[04-04 02:24], 2998          , 2371          , 10125
[04-04 02:54], 3070          , 2371          , 10721
[04-04 03:24], 3170          , 2408          , 11233
[04-04 03:54], 3239          , 2409          , 11748
[04-04 04:24], 3328          , 2410          , 12242
[04-04 04:54], 3414          , 2414          , 12764
[04-04 05:24], 3492          , 2414          , 13387
[04-04 05:54], 3578          , 2418          , 13711
[04-04 06:24], 3661          , 2418          , 14110
[04-04 06:54], 3749          , 2420          , 14496
[04-04 07:24], 3834          , 2422          , 14938
[04-04 07:54], 3908          , 2422          , 15512
[04-04 08:24], 3975          , 2423          , 16003
[04-04 08:54], 4035          , 2424          , 16540
[04-04 09:24], 4121          , 2440          , 16907
[04-04 09:54], 4191          , 2443          , 17366
[04-04 10:24], 4275          , 2445          , 17803
[04-04 10:54], 4351          , 2445          , 18276
[04-04 11:24], 4419          , 2445          , 18664
[04-04 11:54], 4539          , 2450          , 19118
[04-04 12:24], 4636          , 2456          , 19598
[04-04 12:54], 4709          , 2456          , 20082
[04-04 13:24], 4800          , 2456          , 20594
[04-04 13:54], 4864          , 2458          , 21021
[04-04 14:24], 4923          , 2458          , 21530
[04-04 14:54], 4998          , 2458          , 22037
[04-04 15:24], 5084          , 2459          , 22491
[04-04 15:54], 5153          , 2460          , 23065
[04-04 16:24], 5226          , 2460          , 23454
