[2025-04-02_16:53:51] Total Functions: 843, Hited Functions: 29 [ 3.440095% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_16:54:52] Total Functions: 844, Hited Functions: 148 [ 17.535545% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_16:55:53] Total Functions: 844, Hited Functions: 159 [ 18.838863% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_16:56:54] Total Functions: 844, Hited Functions: 168 [ 19.905213% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_16:57:55] Total Functions: 845, Hited Functions: 180 [ 21.301775% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_16:58:56] Total Functions: 845, Hited Functions: 181 [ 21.420118% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_16:59:57] Total Functions: 845, Hited Functions: 196 [ 23.195266% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:00:58] Total Functions: 845, Hited Functions: 197 [ 23.313609% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:01:59] Total Functions: 845, Hited Functions: 197 [ 23.313609% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:03:00] Total Functions: 845, Hited Functions: 197 [ 23.313609% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:04:01] Total Functions: 845, Hited Functions: 198 [ 23.431953% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:05:02] Total Functions: 845, Hited Functions: 198 [ 23.431953% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:06:03] Total Functions: 845, Hited Functions: 198 [ 23.431953% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:07:04] Total Functions: 845, Hited Functions: 198 [ 23.431953% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:08:05] Total Functions: 845, Hited Functions: 200 [ 23.668639% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:09:06] Total Functions: 846, Hited Functions: 201 [ 23.758865% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:10:07] Total Functions: 846, Hited Functions: 201 [ 23.758865% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:11:08] Total Functions: 846, Hited Functions: 201 [ 23.758865% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:12:09] Total Functions: 846, Hited Functions: 202 [ 23.877069% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:13:10] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:14:11] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:15:12] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:16:13] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:17:14] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:18:15] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:19:16] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:20:17] Total Functions: 846, Hited Functions: 203 [ 23.995272% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:21:18] Total Functions: 846, Hited Functions: 204 [ 24.113475% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:22:19] Total Functions: 846, Hited Functions: 207 [ 24.468085% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:23:20] Total Functions: 846, Hited Functions: 207 [ 24.468085% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:24:21] Total Functions: 846, Hited Functions: 207 [ 24.468085% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:25:22] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:26:23] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:27:24] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:28:25] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:29:26] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:30:27] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:31:28] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:32:29] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:33:30] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:34:31] Total Functions: 846, Hited Functions: 208 [ 24.586288% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:35:32] Total Functions: 846, Hited Functions: 211 [ 24.940898% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:36:34] Total Functions: 846, Hited Functions: 215 [ 25.413712% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:37:35] Total Functions: 846, Hited Functions: 216 [ 25.531915% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:38:36] Total Functions: 846, Hited Functions: 216 [ 25.531915% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:39:38] Total Functions: 846, Hited Functions: 219 [ 25.886525% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:40:39] Total Functions: 847, Hited Functions: 221 [ 26.092090% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:41:41] Total Functions: 847, Hited Functions: 223 [ 26.328217% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:42:42] Total Functions: 847, Hited Functions: 223 [ 26.328217% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:43:43] Total Functions: 848, Hited Functions: 228 [ 26.886792% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:44:44] Total Functions: 848, Hited Functions: 228 [ 26.886792% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:45:46] Total Functions: 848, Hited Functions: 228 [ 26.886792% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:46:47] Total Functions: 848, Hited Functions: 228 [ 26.886792% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:47:48] Total Functions: 849, Hited Functions: 229 [ 26.972909% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:48:49] Total Functions: 849, Hited Functions: 230 [ 27.090695% ], Hited Edges: 0, Total Edges: 2852
[2025-04-02_17:49:50] Total Functions: 849, Hited Functions: 231 [ 27.208481% ], Hited Edges: 0, Total Edges: 2852
