real_map_size: 33105
loging--time, explored-paths, covered-blocks, crashes
[04-02 16:54], 318           , 815           , 0
[04-02 17:24], 1862          , 2368          , 0
[04-02 17:54], 2390          , 2923          , 0
[04-02 18:24], 2615          , 3134          , 0
[04-02 18:54], 2831          , 3198          , 0
[04-02 19:24], 3092          , 3262          , 0
[04-02 19:54], 3267          , 3292          , 0
[04-02 20:24], 3424          , 3327          , 0
[04-02 20:54], 3632          , 3397          , 0
[04-02 21:24], 3769          , 3417          , 0
[04-02 21:54], 3962          , 3469          , 0
[04-02 22:24], 4217          , 3719          , 0
[04-02 22:54], 4446          , 3897          , 0
[04-02 23:24], 4581          , 3940          , 0
[04-02 23:54], 4725          , 4011          , 0
[04-03 00:24], 4890          , 4093          , 0
[04-03 00:54], 5024          , 4132          , 0
[04-03 01:24], 5143          , 4142          , 0
[04-03 01:54], 5274          , 4196          , 0
[04-03 02:24], 5450          , 4302          , 0
[04-03 02:54], 5571          , 4324          , 0
[04-03 03:24], 5657          , 4336          , 0
[04-03 03:54], 5696          , 4351          , 0
[04-03 04:24], 5742          , 4395          , 0
[04-03 04:54], 5837          , 4408          , 0
[04-03 05:24], 5970          , 4482          , 0
[04-03 05:54], 6088          , 4515          , 0
[04-03 06:24], 6191          , 4632          , 0
[04-03 06:54], 6358          , 4723          , 0
[04-03 07:24], 6457          , 4731          , 0
[04-03 07:54], 6534          , 4775          , 0
[04-03 08:24], 6642          , 4798          , 0
[04-03 08:54], 6736          , 4801          , 0
[04-03 09:24], 6872          , 4890          , 0
[04-03 09:54], 6937          , 4920          , 0
[04-03 10:24], 7032          , 4923          , 0
[04-03 10:54], 7107          , 4932          , 0
[04-03 11:24], 7212          , 4954          , 0
[04-03 11:54], 7246          , 4961          , 0
[04-03 12:24], 7305          , 4973          , 0
[04-03 12:54], 7395          , 4987          , 0
[04-03 13:24], 7484          , 4988          , 0
[04-03 13:54], 7521          , 4997          , 0
[04-03 14:24], 7539          , 5006          , 0
[04-03 14:54], 7638          , 5012          , 0
[04-03 15:24], 7731          , 5021          , 0
[04-03 15:54], 7775          , 5023          , 0
[04-03 16:24], 7815          , 5039          , 0
