real_map_size: 46243
loging--time, explored-paths, covered-blocks, crashes
[04-02 16:54], 9             , 5218          , 0
[04-02 17:24], 9             , 5218          , 0
[04-02 17:54], 9             , 5218          , 0
[04-02 18:24], 9             , 5218          , 0
[04-02 18:54], 154           , 5218          , 0
[04-02 19:24], 154           , 5218          , 0
[04-02 19:54], 154           , 5218          , 0
[04-02 20:24], 154           , 5218          , 0
[04-02 20:54], 154           , 5218          , 0
[04-02 21:24], 154           , 5218          , 0
[04-02 21:54], 154           , 5218          , 0
[04-02 22:24], 154           , 5218          , 0
[04-02 22:54], 154           , 5218          , 0
[04-02 23:24], 154           , 5218          , 0
[04-02 23:54], 154           , 5218          , 0
[04-03 00:24], 154           , 5218          , 0
[04-03 00:54], 154           , 5218          , 0
[04-03 01:24], 154           , 5218          , 0
[04-03 01:54], 154           , 5218          , 0
[04-03 02:24], 154           , 5218          , 0
[04-03 02:54], 154           , 5218          , 0
[04-03 03:24], 154           , 5218          , 0
[04-03 03:54], 154           , 5218          , 0
[04-03 04:24], 154           , 5218          , 0
[04-03 04:54], 154           , 5218          , 0
[04-03 05:24], 154           , 5218          , 0
[04-03 05:54], 154           , 5218          , 0
[04-03 06:24], 154           , 5218          , 0
[04-03 06:54], 154           , 5218          , 0
[04-03 07:24], 154           , 5218          , 0
[04-03 07:54], 154           , 5218          , 0
[04-03 08:24], 154           , 5218          , 0
[04-03 08:54], 154           , 5218          , 0
[04-03 09:24], 154           , 5218          , 0
[04-03 09:54], 154           , 5218          , 0
[04-03 10:24], 154           , 5218          , 0
[04-03 10:54], 154           , 5218          , 0
[04-03 11:24], 154           , 5218          , 0
[04-03 11:54], 154           , 5218          , 0
[04-03 12:24], 154           , 5218          , 0
[04-03 12:54], 154           , 5218          , 0
[04-03 13:24], 154           , 5218          , 0
[04-03 13:54], 154           , 5218          , 0
[04-03 14:24], 154           , 5218          , 0
[04-03 14:54], 154           , 5218          , 0
[04-03 15:24], 154           , 5218          , 0
[04-03 15:54], 154           , 5218          , 0
[04-03 16:24], 154           , 5218          , 0
