real_map_size: 7273
loging--time, explored-paths, covered-blocks, crashes
[04-02 16:54], 25            , 86            , 0
[04-02 17:24], 97            , 86            , 0
[04-02 17:54], 160           , 86            , 0
[04-02 18:24], 232           , 86            , 0
[04-02 18:54], 299           , 86            , 0
[04-02 19:24], 377           , 86            , 0
[04-02 19:54], 433           , 86            , 0
[04-02 20:24], 525           , 86            , 0
[04-02 20:54], 588           , 86            , 0
[04-02 21:24], 658           , 86            , 0
[04-02 21:54], 743           , 86            , 0
[04-02 22:24], 811           , 86            , 0
[04-02 22:54], 879           , 86            , 0
[04-02 23:24], 944           , 86            , 0
[04-02 23:54], 1036          , 86            , 0
[04-03 00:24], 1114          , 86            , 0
[04-03 00:54], 1191          , 86            , 0
[04-03 01:24], 1263          , 86            , 0
[04-03 01:54], 1334          , 86            , 0
[04-03 02:24], 1424          , 86            , 0
[04-03 02:54], 1478          , 86            , 0
[04-03 03:24], 1559          , 86            , 0
[04-03 03:54], 1635          , 86            , 0
[04-03 04:24], 1703          , 86            , 0
[04-03 04:54], 1777          , 86            , 0
[04-03 05:24], 1835          , 86            , 0
[04-03 05:54], 1914          , 86            , 0
[04-03 06:24], 2003          , 86            , 0
[04-03 06:54], 2076          , 86            , 0
[04-03 07:24], 2147          , 86            , 0
[04-03 07:54], 2216          , 86            , 0
[04-03 08:24], 2303          , 86            , 0
[04-03 08:54], 2365          , 86            , 0
[04-03 09:24], 2445          , 86            , 0
[04-03 09:54], 2518          , 86            , 0
[04-03 10:24], 2587          , 86            , 0
[04-03 10:54], 2650          , 86            , 0
[04-03 11:24], 2722          , 86            , 0
[04-03 11:54], 2810          , 86            , 0
[04-03 12:24], 2889          , 86            , 0
[04-03 12:54], 2969          , 86            , 0
[04-03 13:24], 3046          , 86            , 0
[04-03 13:54], 3121          , 86            , 0
[04-03 14:24], 3207          , 86            , 0
[04-03 14:54], 3277          , 86            , 0
[04-03 15:24], 3344          , 86            , 0
[04-03 15:54], 3411          , 86            , 0
[04-03 16:24], 3477          , 86            , 0
