real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[04-01 16:53], 246           , 1308          , 0
[04-01 17:23], 1159          , 1522          , 0
[04-01 17:53], 1332          , 1535          , 0
[04-01 18:23], 1474          , 1535          , 0
[04-01 18:53], 1553          , 1536          , 0
[04-01 19:23], 1668          , 1541          , 0
[04-01 19:53], 1728          , 1541          , 0
[04-01 20:23], 1806          , 1541          , 0
[04-01 20:53], 1868          , 1541          , 0
[04-01 21:23], 1931          , 1544          , 0
[04-01 21:53], 1983          , 1544          , 0
[04-01 22:23], 2061          , 1545          , 0
[04-01 22:53], 2162          , 1556          , 0
[04-01 23:23], 2267          , 1558          , 0
[04-01 23:53], 2360          , 1558          , 0
[04-02 00:23], 2434          , 1558          , 0
[04-02 00:53], 2530          , 1558          , 0
[04-02 01:23], 2633          , 1559          , 0
[04-02 01:53], 2732          , 1559          , 0
[04-02 02:23], 2818          , 1562          , 0
[04-02 02:53], 2908          , 1562          , 0
[04-02 03:23], 2984          , 1564          , 0
[04-02 03:53], 3088          , 1569          , 0
[04-02 04:23], 3185          , 1571          , 0
[04-02 04:53], 3261          , 1572          , 0
[04-02 05:23], 3345          , 1572          , 0
[04-02 05:53], 3494          , 1572          , 0
[04-02 06:23], 3621          , 1575          , 0
[04-02 06:53], 3719          , 1575          , 0
[04-02 07:23], 3829          , 1575          , 0
[04-02 07:53], 3916          , 1575          , 0
[04-02 08:23], 4011          , 1575          , 0
[04-02 08:53], 4096          , 1575          , 0
[04-02 09:23], 4194          , 1575          , 0
[04-02 09:53], 4299          , 1575          , 0
[04-02 10:23], 4377          , 1575          , 0
[04-02 10:53], 4445          , 1575          , 0
[04-02 11:23], 4540          , 1576          , 0
[04-02 11:53], 4600          , 1577          , 0
[04-02 12:23], 4689          , 1578          , 0
[04-02 12:53], 4780          , 1578          , 0
[04-02 13:23], 4861          , 1578          , 0
[04-02 13:53], 4966          , 1578          , 0
[04-02 14:23], 5050          , 1578          , 0
[04-02 14:53], 5144          , 1578          , 0
[04-02 15:23], 5221          , 1580          , 0
[04-02 15:53], 5312          , 1580          , 0
[04-02 16:23], 5395          , 1580          , 0
