real_map_size: 81502
loging--time, explored-paths, covered-blocks, crashes
[04-05 00:54], 30            , 2587          , 0
[04-05 01:24], 793           , 3934          , 0
[04-05 01:54], 1169          , 4133          , 0
[04-05 02:24], 1321          , 4200          , 0
[04-05 02:54], 1413          , 4219          , 0
[04-05 03:24], 1505          , 4231          , 0
[04-05 03:54], 1642          , 4296          , 0
[04-05 04:24], 1779          , 4351          , 0
[04-05 04:54], 1859          , 4351          , 0
[04-05 05:24], 1940          , 4353          , 0
[04-05 05:54], 2006          , 4354          , 0
[04-05 06:24], 2050          , 4367          , 0
[04-05 06:54], 2083          , 4369          , 0
[04-05 07:24], 2116          , 4371          , 0
[04-05 07:54], 2197          , 4397          , 0
[04-05 08:24], 2253          , 4418          , 0
[04-05 08:54], 2381          , 4452          , 0
[04-05 09:24], 2425          , 4453          , 0
[04-05 09:54], 2451          , 4453          , 0
[04-05 10:24], 2476          , 4454          , 0
[04-05 10:54], 2498          , 4454          , 0
[04-05 11:24], 2519          , 4462          , 0
[04-05 11:54], 2543          , 4464          , 0
[04-05 12:24], 2565          , 4464          , 0
[04-05 12:54], 2577          , 4464          , 0
[04-05 13:24], 2606          , 4466          , 0
[04-05 13:54], 2624          , 4466          , 0
[04-05 14:24], 2655          , 4478          , 0
[04-05 14:54], 2670          , 4480          , 0
[04-05 15:24], 2699          , 4538          , 0
[04-05 15:54], 2727          , 4565          , 0
[04-05 16:24], 2760          , 4571          , 0
[04-05 16:54], 2783          , 4571          , 0
[04-05 17:24], 2824          , 4594          , 0
[04-05 17:54], 2848          , 4597          , 0
[04-05 18:24], 2870          , 4598          , 0
[04-05 18:54], 2882          , 4598          , 0
[04-05 19:24], 2920          , 4598          , 0
[04-05 19:54], 2943          , 4599          , 0
[04-05 20:24], 2975          , 4602          , 0
[04-05 20:54], 2999          , 4602          , 0
[04-05 21:24], 3027          , 4620          , 0
[04-05 21:54], 3044          , 4621          , 0
[04-05 22:24], 3065          , 4623          , 0
[04-05 22:54], 3097          , 4632          , 0
[04-05 23:24], 3118          , 4632          , 0
[04-05 23:54], 3144          , 4633          , 0
[04-06 00:24], 3155          , 4633          , 0
