real_map_size: 13621
loging--time, explored-paths, covered-blocks, crashes
[04-05 00:55], 10            , 292           , 0
[04-05 01:25], 32            , 292           , 0
[04-05 01:55], 63            , 292           , 0
[04-05 02:25], 95            , 292           , 0
[04-05 02:55], 120           , 292           , 0
[04-05 03:25], 141           , 292           , 0
[04-05 03:55], 166           , 292           , 0
[04-05 04:25], 191           , 292           , 0
[04-05 04:55], 207           , 292           , 0
[04-05 05:25], 221           , 292           , 0
[04-05 05:55], 249           , 292           , 0
[04-05 06:25], 262           , 292           , 0
[04-05 06:55], 287           , 292           , 0
[04-05 07:25], 316           , 292           , 0
[04-05 07:55], 345           , 292           , 0
[04-05 08:25], 374           , 292           , 0
[04-05 08:55], 399           , 292           , 0
[04-05 09:25], 425           , 292           , 0
[04-05 09:55], 446           , 292           , 0
[04-05 10:25], 474           , 292           , 0
[04-05 10:55], 500           , 292           , 0
[04-05 11:25], 527           , 292           , 0
[04-05 11:55], 553           , 292           , 0
[04-05 12:25], 580           , 292           , 0
[04-05 12:55], 611           , 292           , 0
[04-05 13:25], 634           , 292           , 0
[04-05 13:55], 663           , 292           , 0
[04-05 14:25], 692           , 292           , 0
[04-05 14:55], 719           , 292           , 0
[04-05 15:25], 745           , 292           , 0
[04-05 15:55], 773           , 292           , 0
[04-05 16:25], 802           , 292           , 0
[04-05 16:55], 828           , 292           , 0
[04-05 17:25], 829           , 292           , 0
[04-05 17:55], 829           , 292           , 0
[04-05 18:25], 829           , 292           , 0
[04-05 18:55], 829           , 292           , 0
[04-05 19:25], 829           , 292           , 0
[04-05 19:55], 829           , 292           , 0
[04-05 20:25], 829           , 292           , 0
[04-05 20:55], 829           , 292           , 0
[04-05 21:25], 829           , 292           , 0
[04-05 21:55], 829           , 292           , 0
[04-05 22:25], 829           , 292           , 0
[04-05 22:55], 829           , 292           , 0
[04-05 23:25], 829           , 292           , 0
[04-05 23:55], 829           , 292           , 0
[04-06 00:25], 829           , 292           , 0
