[2025-04-06_00:54:41] Total Functions: 2325, Hited Functions: 167 [ 7.182796% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_00:55:42] Total Functions: 2325, Hited Functions: 324 [ 13.935484% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_00:56:43] Total Functions: 2325, Hited Functions: 334 [ 14.365591% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_00:57:44] Total Functions: 2325, Hited Functions: 336 [ 14.451613% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_00:58:45] Total Functions: 2325, Hited Functions: 337 [ 14.494624% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_00:59:46] Total Functions: 2325, Hited Functions: 337 [ 14.494624% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:00:47] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:01:48] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:02:49] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:03:50] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:04:51] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:05:52] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:06:53] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:07:54] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:08:55] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:09:56] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:10:57] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:11:58] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:12:59] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:14:00] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:15:01] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:16:02] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:17:03] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:18:04] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:19:05] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:20:06] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:21:07] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:22:08] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:23:09] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:24:10] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:25:11] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:26:12] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:27:13] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:28:14] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:29:15] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
[2025-04-06_01:30:16] Total Functions: 2325, Hited Functions: 358 [ 15.397849% ], Hited Edges: 0, Total Edges: 14796
