real_map_size: 676
loging--time, explored-paths, covered-blocks, crashes
[04-06 00:55], 127           , 141           , 0
[04-06 01:25], 570           , 231           , 0
[04-06 01:55], 683           , 231           , 0
[04-06 02:25], 796           , 231           , 0
[04-06 02:55], 834           , 231           , 0
[04-06 03:25], 862           , 231           , 0
[04-06 03:55], 909           , 231           , 0
[04-06 04:25], 959           , 231           , 0
[04-06 04:55], 1005          , 231           , 0
[04-06 05:25], 1048          , 231           , 0
[04-06 05:55], 1086          , 231           , 0
[04-06 06:25], 1126          , 231           , 0
[04-06 06:55], 1170          , 231           , 0
[04-06 07:25], 1216          , 231           , 0
[04-06 07:55], 1266          , 231           , 0
[04-06 08:25], 1311          , 231           , 0
[04-06 08:55], 1356          , 231           , 0
[04-06 09:25], 1409          , 231           , 0
[04-06 09:55], 1458          , 231           , 0
[04-06 10:25], 1505          , 231           , 0
[04-06 10:55], 1549          , 231           , 0
[04-06 11:25], 1601          , 231           , 0
[04-06 11:55], 1645          , 231           , 0
[04-06 12:25], 1690          , 231           , 0
[04-06 12:55], 1733          , 231           , 0
[04-06 13:25], 1784          , 231           , 0
[04-06 13:55], 1826          , 231           , 0
[04-06 14:25], 1867          , 231           , 0
[04-06 14:55], 1904          , 231           , 0
[04-06 15:25], 1944          , 231           , 0
[04-06 15:55], 1990          , 231           , 0
[04-06 16:25], 2026          , 231           , 0
[04-06 16:55], 2075          , 231           , 0
[04-06 17:25], 2120          , 231           , 0
[04-06 17:55], 2157          , 231           , 0
[04-06 18:25], 2199          , 231           , 0
[04-06 18:55], 2244          , 231           , 0
[04-06 19:25], 2294          , 231           , 0
[04-06 19:55], 2342          , 231           , 0
[04-06 20:25], 2390          , 231           , 0
[04-06 20:55], 2438          , 231           , 0
[04-06 21:25], 2490          , 231           , 0
[04-06 21:55], 2527          , 231           , 0
[04-06 22:25], 2577          , 231           , 0
[04-06 22:55], 2626          , 231           , 0
[04-06 23:25], 2673          , 231           , 0
[04-06 23:55], 2702          , 231           , 0
[04-07 00:25], 2750          , 231           , 0
