[2025-04-07_00:55:32] Total Functions: 2150, Hited Functions: 186 [ 8.651163% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_00:56:33] Total Functions: 2157, Hited Functions: 373 [ 17.292536% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_00:57:34] Total Functions: 2157, Hited Functions: 375 [ 17.385257% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_00:58:35] Total Functions: 2157, Hited Functions: 376 [ 17.431618% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_00:59:36] Total Functions: 2157, Hited Functions: 376 [ 17.431618% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:00:37] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:01:38] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:02:39] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:03:40] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:04:41] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:05:42] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:06:43] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:07:44] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:08:45] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:09:46] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:10:47] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:11:48] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:12:49] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:13:50] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:14:51] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:15:52] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:16:53] Total Functions: 2157, Hited Functions: 379 [ 17.570700% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:17:54] Total Functions: 2157, Hited Functions: 379 [ 17.570700% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:18:55] Total Functions: 2157, Hited Functions: 379 [ 17.570700% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:19:56] Total Functions: 2157, Hited Functions: 379 [ 17.570700% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:20:57] Total Functions: 2157, Hited Functions: 379 [ 17.570700% ], Hited Edges: 0, Total Edges: 5582
[2025-04-07_01:21:58] Total Functions: 2157, Hited Functions: 379 [ 17.570700% ], Hited Edges: 0, Total Edges: 5582
