real_map_size: 15695
loging--time, explored-paths, covered-blocks, crashes
[04-07 00:56], 198           , 1998          , 19
[04-07 01:26], 918           , 2217          , 490
[04-07 01:56], 1211          , 2249          , 770
[04-07 02:26], 1379          , 2259          , 1090
[04-07 02:56], 1528          , 2277          , 1688
[04-07 03:26], 1654          , 2286          , 2280
[04-07 03:56], 1740          , 2295          , 2888
[04-07 04:26], 1824          , 2302          , 3429
[04-07 04:56], 1917          , 2308          , 3991
[04-07 05:26], 2005          , 2315          , 4561
[04-07 05:56], 2100          , 2320          , 5052
[04-07 06:26], 2183          , 2324          , 5561
[04-07 06:56], 2285          , 2347          , 6091
[04-07 07:26], 2404          , 2361          , 6611
[04-07 07:56], 2496          , 2389          , 7070
[04-07 08:26], 2584          , 2391          , 7454
[04-07 08:56], 2679          , 2409          , 7930
[04-07 09:26], 2766          , 2411          , 8367
[04-07 09:56], 2839          , 2413          , 8695
[04-07 10:26], 2913          , 2416          , 9159
[04-07 10:56], 2988          , 2416          , 9650
[04-07 11:26], 3053          , 2417          , 10139
[04-07 11:56], 3133          , 2418          , 10629
[04-07 12:26], 3210          , 2422          , 11075
[04-07 12:56], 3292          , 2425          , 11545
[04-07 13:26], 3371          , 2425          , 11971
[04-07 13:56], 3439          , 2425          , 12400
[04-07 14:26], 3511          , 2425          , 12776
[04-07 14:56], 3578          , 2425          , 13215
[04-07 15:26], 3646          , 2425          , 13558
[04-07 15:56], 3721          , 2425          , 14018
[04-07 16:26], 3785          , 2425          , 14402
[04-07 16:56], 3852          , 2425          , 14681
[04-07 17:26], 3911          , 2426          , 15126
[04-07 17:56], 4021          , 2774          , 15558
[04-07 18:26], 4087          , 2774          , 15926
[04-07 18:56], 4143          , 2775          , 16378
[04-07 19:26], 4211          , 2776          , 16788
[04-07 19:56], 4276          , 2778          , 17169
[04-07 20:26], 4357          , 2782          , 17440
[04-07 20:56], 4426          , 2782          , 17677
[04-07 21:26], 4496          , 2786          , 18077
[04-07 21:56], 4566          , 2788          , 18488
[04-07 22:26], 4649          , 2790          , 18891
[04-07 22:56], 4733          , 2792          , 19163
[04-07 23:26], 4787          , 2793          , 19460
[04-07 23:56], 4840          , 2795          , 19864
[04-08 00:26], 4899          , 2795          , 20297
