real_map_size: 33105
loging--time, explored-paths, covered-blocks, crashes
[04-06 00:55], 51            , 377           , 0
[04-06 01:25], 1206          , 2079          , 0
[04-06 01:55], 1721          , 2599          , 0
[04-06 02:25], 2223          , 3159          , 0
[04-06 02:55], 2375          , 3274          , 0
[04-06 03:25], 2651          , 3455          , 0
[04-06 03:55], 2982          , 3610          , 0
[04-06 04:25], 3231          , 3732          , 0
[04-06 04:55], 3438          , 3790          , 0
[04-06 05:25], 3592          , 3817          , 0
[04-06 05:55], 3802          , 3842          , 0
[04-06 06:25], 3965          , 3889          , 0
[04-06 06:55], 4099          , 3904          , 0
[04-06 07:25], 4233          , 3966          , 0
[04-06 07:55], 4510          , 4301          , 0
[04-06 08:25], 4632          , 4419          , 0
[04-06 08:55], 4783          , 4496          , 0
[04-06 09:25], 4861          , 4523          , 0
[04-06 09:55], 4993          , 4631          , 0
[04-06 10:25], 5070          , 4725          , 0
[04-06 10:55], 5138          , 4737          , 0
[04-06 11:25], 5210          , 4791          , 0
[04-06 11:55], 5288          , 4812          , 0
[04-06 12:25], 5353          , 4849          , 0
[04-06 12:55], 5421          , 4870          , 0
[04-06 13:25], 5496          , 4891          , 0
[04-06 13:55], 5602          , 4932          , 0
[04-06 14:25], 5688          , 4970          , 0
[04-06 14:55], 5742          , 4991          , 0
[04-06 15:25], 5904          , 5086          , 0
[04-06 15:55], 5992          , 5119          , 0
[04-06 16:25], 6046          , 5143          , 0
[04-06 16:55], 6111          , 5176          , 0
[04-06 17:25], 6204          , 5240          , 0
[04-06 17:55], 6242          , 5243          , 0
[04-06 18:25], 6279          , 5255          , 0
[04-06 18:55], 6357          , 5284          , 0
[04-06 19:25], 6392          , 5285          , 0
[04-06 19:55], 6451          , 5307          , 0
[04-06 20:25], 6509          , 5323          , 0
[04-06 20:55], 6556          , 5327          , 0
[04-06 21:25], 6603          , 5329          , 0
[04-06 21:55], 6650          , 5332          , 0
[04-06 22:25], 6684          , 5349          , 0
[04-06 22:55], 6717          , 5353          , 0
[04-06 23:25], 6755          , 5354          , 0
[04-06 23:55], 6793          , 5357          , 0
[04-07 00:25], 6846          , 5394          , 0
