[2025-04-06_00:55:11] Total Functions: 1361, Hited Functions: 58 [ 4.261572% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_00:56:12] Total Functions: 1363, Hited Functions: 390 [ 28.613353% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_00:57:13] Total Functions: 1363, Hited Functions: 390 [ 28.613353% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_00:58:14] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_00:59:15] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:00:16] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:01:17] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:02:18] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:03:19] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:04:20] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:05:21] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:06:22] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:07:23] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:08:24] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:09:25] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:10:26] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:11:27] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:12:28] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:13:29] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:14:30] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:15:31] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:16:32] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:17:33] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:18:34] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:19:35] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:20:36] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:21:37] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:22:38] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:23:39] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-04-06_01:24:40] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
