node:36,edge:45,path:32,min-pl:2,max-pl:5,mean-pl:4,stddev-pl:2400959708.077795,node-cov:83%
node:25,edge:32,path:18,min-pl:2,max-pl:7,mean-pl:3,stddev-pl:2263646521.355386,node-cov:92%
node:21,edge:28,path:13,min-pl:2,max-pl:8,mean-pl:5,stddev-pl:2063235550.164225,node-cov:100%
node:18,edge:28,path:11,min-pl:3,max-pl:4,mean-pl:3,stddev-pl:0.797724,node-cov:100%
node:15,edge:23,path:8,min-pl:6,max-pl:7,mean-pl:6,stddev-pl:0.500000,node-cov:93%
node:14,edge:16,path:7,min-pl:2,max-pl:4,mean-pl:2,stddev-pl:1.195229,node-cov:78%
node:9,edge:13,path:4,min-pl:4,max-pl:4,mean-pl:4,stddev-pl:0.000000,node-cov:100%
node:9,edge:13,path:4,min-pl:4,max-pl:4,mean-pl:4,stddev-pl:0.000000,node-cov:100%
node:8,edge:9,path:7,min-pl:2,max-pl:3,mean-pl:2,stddev-pl:0.845154,node-cov:100%
node:11,edge:15,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:9,edge:10,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:9,edge:10,path:6,min-pl:2,max-pl:4,mean-pl:2,stddev-pl:1.000000,node-cov:100%
node:12,edge:16,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:9,edge:12,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:7,edge:10,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:8,edge:8,path:5,min-pl:2,max-pl:4,mean-pl:2,stddev-pl:0.894427,node-cov:100%
node:6,edge:5,path:5,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:7,edge:8,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:6,edge:7,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:5,edge:4,path:2,min-pl:4,max-pl:4,mean-pl:4,stddev-pl:0.000000,node-cov:100%
node:5,edge:6,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:5,edge:8,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:6,edge:5,path:3,min-pl:2,max-pl:4,mean-pl:2,stddev-pl:1.154701,node-cov:100%
node:5,edge:6,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:4,edge:3,path:2,min-pl:3,max-pl:3,mean-pl:3,stddev-pl:0.000000,node-cov:100%
node:4,edge:4,path:2,min-pl:3,max-pl:3,mean-pl:3,stddev-pl:0.000000,node-cov:100%
node:3,edge:2,path:2,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:3,edge:4,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:3,edge:4,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:5,edge:4,path:2,min-pl:2,max-pl:4,mean-pl:3,stddev-pl:3037000499.268943,node-cov:100%
node:3,edge:4,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:3,edge:2,path:2,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:22,edge:24,path:10,min-pl:2,max-pl:4,mean-pl:2,stddev-pl:1.048809,node-cov:72%
node:12,edge:15,path:8,min-pl:2,max-pl:5,mean-pl:3,stddev-pl:1518500249.634471,node-cov:100%
node:5,edge:4,path:4,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:3,edge:2,path:2,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:4,edge:3,path:1,min-pl:4,max-pl:4,mean-pl:4,stddev-pl:0.000000,node-cov:100%
