real_map_size: 46243
loging--time, explored-paths, covered-blocks, crashes
[04-06 00:56], 8             , 5218          , 0
[04-06 01:26], 159           , 5353          , 32
[04-06 01:56], 373           , 6382          , 106
[04-06 02:26], 462           , 6521          , 137
[04-06 02:56], 480           , 6521          , 137
[04-06 03:26], 480           , 6521          , 137
[04-06 03:56], 480           , 6521          , 137
[04-06 04:26], 480           , 6521          , 137
[04-06 04:56], 480           , 6521          , 137
[04-06 05:26], 487           , 6521          , 137
[04-06 05:56], 487           , 6521          , 137
[04-06 06:26], 487           , 6521          , 137
[04-06 06:56], 487           , 6521          , 137
[04-06 07:26], 487           , 6521          , 137
[04-06 07:56], 487           , 6521          , 137
[04-06 08:26], 487           , 6521          , 137
[04-06 08:56], 487           , 6521          , 137
[04-06 09:26], 487           , 6521          , 137
[04-06 09:56], 487           , 6521          , 137
[04-06 10:26], 487           , 6521          , 137
[04-06 10:56], 487           , 6521          , 137
[04-06 11:26], 487           , 6521          , 137
[04-06 11:56], 487           , 6521          , 137
[04-06 12:26], 487           , 6521          , 137
[04-06 12:56], 487           , 6521          , 137
[04-06 13:26], 487           , 6521          , 137
[04-06 13:56], 487           , 6521          , 137
[04-06 14:26], 487           , 6521          , 137
[04-06 14:56], 487           , 6521          , 137
[04-06 15:26], 487           , 6521          , 137
[04-06 15:56], 487           , 6521          , 137
[04-06 16:26], 487           , 6521          , 137
[04-06 16:56], 487           , 6521          , 137
[04-06 17:26], 487           , 6521          , 137
[04-06 17:56], 487           , 6521          , 137
[04-06 18:26], 487           , 6521          , 137
[04-06 18:56], 487           , 6521          , 137
[04-06 19:26], 487           , 6521          , 137
[04-06 19:56], 487           , 6521          , 137
[04-06 20:26], 487           , 6521          , 137
[04-06 20:56], 487           , 6521          , 137
[04-06 21:26], 487           , 6521          , 137
[04-06 21:56], 487           , 6521          , 137
[04-06 22:26], 487           , 6521          , 137
[04-06 22:56], 487           , 6521          , 137
[04-06 23:26], 487           , 6521          , 137
[04-06 23:56], 487           , 6521          , 137
[04-07 00:26], 487           , 6521          , 137
