real_map_size: 7273
loging--time, explored-paths, covered-blocks, crashes
[04-06 00:55], 25            , 86            , 0
[04-06 01:25], 52            , 86            , 0
[04-06 01:55], 75            , 86            , 0
[04-06 02:25], 100           , 86            , 0
[04-06 02:55], 125           , 86            , 0
[04-06 03:25], 153           , 86            , 0
[04-06 03:55], 189           , 86            , 0
[04-06 04:25], 224           , 86            , 0
[04-06 04:55], 256           , 86            , 0
[04-06 05:25], 290           , 86            , 0
[04-06 05:55], 320           , 86            , 0
[04-06 06:25], 356           , 86            , 0
[04-06 06:55], 388           , 86            , 0
[04-06 07:25], 389           , 86            , 0
[04-06 07:55], 389           , 86            , 0
[04-06 08:25], 389           , 86            , 0
[04-06 08:55], 389           , 86            , 0
[04-06 09:25], 389           , 86            , 0
[04-06 09:55], 389           , 86            , 0
[04-06 10:25], 389           , 86            , 0
[04-06 10:55], 389           , 86            , 0
[04-06 11:25], 389           , 86            , 0
[04-06 11:55], 389           , 86            , 0
[04-06 12:25], 389           , 86            , 0
[04-06 12:55], 389           , 86            , 0
[04-06 13:25], 389           , 86            , 0
[04-06 13:55], 389           , 86            , 0
[04-06 14:25], 389           , 86            , 0
[04-06 14:55], 389           , 86            , 0
[04-06 15:25], 389           , 86            , 0
[04-06 15:55], 389           , 86            , 0
[04-06 16:25], 389           , 86            , 0
[04-06 16:55], 389           , 86            , 0
[04-06 17:25], 389           , 86            , 0
[04-06 17:55], 389           , 86            , 0
[04-06 18:25], 389           , 86            , 0
[04-06 18:55], 389           , 86            , 0
[04-06 19:25], 389           , 86            , 0
[04-06 19:55], 389           , 86            , 0
[04-06 20:25], 389           , 86            , 0
[04-06 20:55], 389           , 86            , 0
[04-06 21:25], 389           , 86            , 0
[04-06 21:55], 389           , 86            , 0
[04-06 22:25], 389           , 86            , 0
[04-06 22:55], 389           , 86            , 0
[04-06 23:25], 389           , 86            , 0
[04-06 23:55], 389           , 86            , 0
[04-07 00:25], 389           , 86            , 0
