[2025-03-29_06:47:47] Total Functions: 117619, Hited Functions: 475 [ 0.403846% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:48:48] Total Functions: 120124, Hited Functions: 9000 [ 7.492258% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:49:49] Total Functions: 120124, Hited Functions: 9000 [ 7.492258% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:50:50] Total Functions: 120124, Hited Functions: 9000 [ 7.492258% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:51:51] Total Functions: 120124, Hited Functions: 9000 [ 7.492258% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:52:52] Total Functions: 120143, Hited Functions: 9039 [ 7.523534% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:53:53] Total Functions: 120143, Hited Functions: 9039 [ 7.523534% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:54:54] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:55:55] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:56:56] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:57:57] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:58:58] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_06:59:59] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:01:00] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:02:01] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:03:02] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:04:03] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:05:04] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:06:05] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:07:06] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:08:07] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:09:08] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:10:09] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:11:10] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:12:11] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:13:12] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:14:13] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:15:14] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:16:15] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:17:16] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:18:17] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:19:18] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:20:19] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:21:20] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:22:21] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:23:22] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:24:23] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:25:24] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:26:25] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:27:26] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:28:27] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:29:28] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:30:29] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:31:30] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:32:31] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:33:32] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:34:33] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:35:34] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:36:35] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:37:36] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:38:37] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:39:38] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:40:39] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:41:40] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:42:41] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:43:42] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:44:43] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:45:44] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:46:45] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:47:46] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:48:47] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:49:48] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:50:49] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:51:50] Total Functions: 120150, Hited Functions: 9061 [ 7.541407% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:52:51] Total Functions: 120150, Hited Functions: 9074 [ 7.552226% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:53:52] Total Functions: 120150, Hited Functions: 9074 [ 7.552226% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:54:53] Total Functions: 120150, Hited Functions: 9074 [ 7.552226% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:55:54] Total Functions: 120150, Hited Functions: 9074 [ 7.552226% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:56:55] Total Functions: 120150, Hited Functions: 9074 [ 7.552226% ], Hited Edges: 0, Total Edges: 362506
[2025-03-29_07:57:56] Total Functions: 120150, Hited Functions: 9074 [ 7.552226% ], Hited Edges: 0, Total Edges: 362506
