real_map_size: 362927
loging--time, explored-paths, covered-blocks, crashes
[03-29 06:48], 28            , 12493         , 0
[03-29 07:18], 92            , 12934         , 0
[03-29 07:48], 92            , 12934         , 0
[03-29 08:18], 111           , 12934         , 0
[03-29 08:48], 129           , 12934         , 0
[03-29 09:18], 129           , 12934         , 0
[03-29 09:48], 153           , 12934         , 0
[03-29 10:18], 162           , 12934         , 0
[03-29 10:48], 169           , 12934         , 0
[03-29 11:18], 172           , 12934         , 0
[03-29 11:48], 188           , 12934         , 0
[03-29 12:18], 195           , 12934         , 0
[03-29 12:48], 208           , 12934         , 0
[03-29 13:18], 226           , 12934         , 0
[03-29 13:48], 258           , 12934         , 0
[03-29 14:18], 271           , 12934         , 0
[03-29 14:48], 284           , 12934         , 0
[03-29 15:18], 310           , 12934         , 0
[03-29 15:48], 328           , 12934         , 0
[03-29 16:18], 346           , 12934         , 0
[03-29 16:48], 371           , 12934         , 0
[03-29 17:18], 409           , 12934         , 0
[03-29 17:48], 409           , 12934         , 0
[03-29 18:18], 409           , 12934         , 0
[03-29 18:48], 409           , 12934         , 0
[03-29 19:18], 409           , 12934         , 0
[03-29 19:48], 409           , 12934         , 0
[03-29 20:18], 480           , 12934         , 0
[03-29 20:48], 490           , 12934         , 0
[03-29 21:18], 517           , 12934         , 0
[03-29 21:48], 553           , 12934         , 0
[03-29 22:18], 583           , 12934         , 0
[03-29 22:48], 609           , 12934         , 0
[03-29 23:18], 629           , 12934         , 0
[03-29 23:48], 629           , 12934         , 0
[03-30 00:18], 685           , 12934         , 0
[03-30 00:48], 685           , 12934         , 0
[03-30 01:18], 685           , 12934         , 0
[03-30 01:48], 685           , 12934         , 0
[03-30 02:18], 685           , 12934         , 0
[03-30 02:48], 685           , 12934         , 0
[03-30 03:18], 685           , 12934         , 0
[03-30 03:48], 685           , 12934         , 0
[03-30 04:18], 685           , 12934         , 0
[03-30 04:48], 685           , 12934         , 0
[03-30 05:18], 685           , 12934         , 0
[03-30 05:48], 685           , 12934         , 0
[03-30 06:18], 685           , 12934         , 0
