[2025-03-29_06:47:44] Total Functions: 793, Hited Functions: 275 [ 34.678436% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:48:45] Total Functions: 991, Hited Functions: 519 [ 52.371342% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:49:46] Total Functions: 993, Hited Functions: 521 [ 52.467271% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:50:47] Total Functions: 1006, Hited Functions: 534 [ 53.081511% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:51:48] Total Functions: 1018, Hited Functions: 546 [ 53.634578% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:52:49] Total Functions: 1064, Hited Functions: 592 [ 55.639098% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:53:50] Total Functions: 1066, Hited Functions: 594 [ 55.722326% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:54:51] Total Functions: 1068, Hited Functions: 596 [ 55.805243% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:55:52] Total Functions: 1069, Hited Functions: 597 [ 55.846586% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:56:53] Total Functions: 1071, Hited Functions: 599 [ 55.929038% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:57:54] Total Functions: 1074, Hited Functions: 602 [ 56.052142% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:58:55] Total Functions: 1074, Hited Functions: 602 [ 56.052142% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_06:59:56] Total Functions: 1078, Hited Functions: 606 [ 56.215213% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:00:57] Total Functions: 1080, Hited Functions: 608 [ 56.296296% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:01:58] Total Functions: 1081, Hited Functions: 609 [ 56.336725% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:02:59] Total Functions: 1083, Hited Functions: 611 [ 56.417359% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:04:55] Total Functions: 1083, Hited Functions: 611 [ 56.417359% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:06:28] Total Functions: 1087, Hited Functions: 615 [ 56.577737% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:07:41] Total Functions: 1087, Hited Functions: 615 [ 56.577737% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:08:42] Total Functions: 1087, Hited Functions: 615 [ 56.577737% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:09:43] Total Functions: 1097, Hited Functions: 625 [ 56.973564% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:10:44] Total Functions: 1098, Hited Functions: 626 [ 57.012750% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:11:45] Total Functions: 1098, Hited Functions: 626 [ 57.012750% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:12:46] Total Functions: 1098, Hited Functions: 626 [ 57.012750% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:13:47] Total Functions: 1098, Hited Functions: 626 [ 57.012750% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:14:48] Total Functions: 1098, Hited Functions: 626 [ 57.012750% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:15:49] Total Functions: 1098, Hited Functions: 626 [ 57.012750% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:16:50] Total Functions: 1102, Hited Functions: 630 [ 57.168784% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:17:51] Total Functions: 1102, Hited Functions: 630 [ 57.168784% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:18:52] Total Functions: 1103, Hited Functions: 631 [ 57.207616% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:19:53] Total Functions: 1103, Hited Functions: 631 [ 57.207616% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:20:54] Total Functions: 1103, Hited Functions: 631 [ 57.207616% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:22:26] Total Functions: 1103, Hited Functions: 631 [ 57.207616% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:23:27] Total Functions: 1104, Hited Functions: 632 [ 57.246377% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:24:35] Total Functions: 1104, Hited Functions: 632 [ 57.246377% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:25:46] Total Functions: 1105, Hited Functions: 633 [ 57.285068% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:27:58] Total Functions: 1105, Hited Functions: 633 [ 57.285068% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:28:59] Total Functions: 1105, Hited Functions: 633 [ 57.285068% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:30:00] Total Functions: 1106, Hited Functions: 634 [ 57.323689% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:31:01] Total Functions: 1106, Hited Functions: 634 [ 57.323689% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:32:02] Total Functions: 1106, Hited Functions: 634 [ 57.323689% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:33:37] Total Functions: 1106, Hited Functions: 634 [ 57.323689% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:35:24] Total Functions: 1106, Hited Functions: 634 [ 57.323689% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:36:25] Total Functions: 1107, Hited Functions: 635 [ 57.362240% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:37:26] Total Functions: 1107, Hited Functions: 635 [ 57.362240% ], Hited Edges: 0, Total Edges: 2056
[2025-03-29_07:38:27] Total Functions: 1108, Hited Functions: 636 [ 57.400722% ], Hited Edges: 0, Total Edges: 2056
