real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[03-30 06:48], 929           , 2849          , 0
[03-30 07:18], 4090          , 4096          , 0
[03-30 07:48], 5109          , 4193          , 0
[03-30 08:18], 5747          , 4275          , 0
[03-30 08:48], 6176          , 4322          , 0
[03-30 09:18], 6570          , 4379          , 0
[03-30 09:48], 7077          , 4470          , 0
[03-30 10:18], 7331          , 4492          , 0
[03-30 10:48], 7592          , 4497          , 0
[03-30 11:18], 7809          , 4510          , 0
[03-30 11:48], 7989          , 4513          , 0
[03-30 12:18], 8211          , 4555          , 0
[03-30 12:48], 8318          , 4559          , 0
[03-30 13:18], 8407          , 4560          , 0
[03-30 13:48], 8517          , 4565          , 0
[03-30 14:18], 8604          , 4579          , 0
[03-30 14:48], 8689          , 4582          , 0
[03-30 15:18], 8792          , 4586          , 0
[03-30 15:48], 8893          , 4597          , 0
[03-30 16:18], 8997          , 4604          , 0
[03-30 16:48], 9088          , 4605          , 0
[03-30 17:18], 9173          , 4606          , 0
[03-30 17:48], 9249          , 4608          , 0
[03-30 18:18], 9358          , 4610          , 0
[03-30 18:48], 9446          , 4610          , 0
[03-30 19:18], 9532          , 4611          , 0
[03-30 19:48], 9602          , 4611          , 0
[03-30 20:18], 9679          , 4616          , 0
[03-30 20:48], 9737          , 4618          , 0
[03-30 21:18], 9806          , 4621          , 0
[03-30 21:48], 9896          , 4707          , 0
[03-30 22:18], 9961          , 4708          , 0
[03-30 22:48], 10033         , 4711          , 0
[03-30 23:18], 10125         , 4713          , 0
[03-30 23:48], 10189         , 4715          , 0
[03-31 00:18], 10270         , 4721          , 0
[03-31 00:48], 10330         , 4726          , 0
[03-31 01:18], 10381         , 4727          , 0
[03-31 01:48], 10433         , 4732          , 0
[03-31 02:18], 10496         , 4733          , 0
[03-31 02:48], 10549         , 4738          , 0
[03-31 03:18], 10635         , 4738          , 0
[03-31 03:48], 10695         , 4741          , 0
[03-31 04:18], 10763         , 4742          , 0
[03-31 04:48], 10811         , 4742          , 0
[03-31 05:18], 10871         , 4743          , 0
[03-31 05:48], 10936         , 4746          , 0
[03-31 06:18], 10994         , 4746          , 0
