real_map_size: 1612
loging--time, explored-paths, covered-blocks, crashes
[03-31 06:51], 101           , 293           , 0
[03-31 07:21], 301           , 312           , 0
[03-31 07:51], 353           , 314           , 0
[03-31 08:21], 391           , 314           , 0
[03-31 08:51], 425           , 315           , 0
[03-31 09:21], 450           , 315           , 0
[03-31 09:51], 491           , 315           , 0
[03-31 10:21], 531           , 316           , 0
[03-31 10:51], 560           , 316           , 0
[03-31 11:21], 597           , 316           , 0
[03-31 11:51], 638           , 316           , 0
[03-31 12:21], 669           , 316           , 0
[03-31 12:51], 709           , 316           , 0
[03-31 13:21], 745           , 324           , 0
[03-31 13:51], 794           , 324           , 0
[03-31 14:21], 830           , 324           , 0
[03-31 14:51], 867           , 324           , 0
[03-31 15:21], 899           , 324           , 0
[03-31 15:51], 923           , 324           , 0
[03-31 16:21], 951           , 324           , 0
[03-31 16:51], 983           , 324           , 0
[03-31 17:21], 1015          , 324           , 0
[03-31 17:51], 1054          , 324           , 0
[03-31 18:21], 1099          , 324           , 0
[03-31 18:51], 1135          , 324           , 0
[03-31 19:21], 1166          , 324           , 0
[03-31 19:51], 1207          , 324           , 0
[03-31 20:21], 1255          , 324           , 0
[03-31 20:51], 1300          , 324           , 0
[03-31 21:21], 1344          , 325           , 0
[03-31 21:51], 1396          , 325           , 0
[03-31 22:21], 1444          , 325           , 0
[03-31 22:51], 1489          , 325           , 0
[03-31 23:21], 1541          , 325           , 0
[03-31 23:51], 1585          , 325           , 0
[04-01 00:21], 1621          , 325           , 0
[04-01 00:51], 1662          , 325           , 0
[04-01 01:21], 1693          , 325           , 0
[04-01 01:51], 1743          , 325           , 0
[04-01 02:21], 1779          , 325           , 0
[04-01 02:51], 1817          , 325           , 0
[04-01 03:21], 1858          , 325           , 0
[04-01 03:51], 1905          , 325           , 0
[04-01 04:21], 1952          , 325           , 0
[04-01 04:51], 2002          , 325           , 0
[04-01 05:21], 2049          , 325           , 0
[04-01 05:51], 2095          , 325           , 0
[04-01 06:21], 2135          , 325           , 0
