real_map_size: 17572
loging--time, explored-paths, covered-blocks, crashes
[03-29 06:48], 13            , 385           , 0
[03-29 07:18], 30            , 385           , 0
[03-29 07:48], 39            , 385           , 0
[03-29 08:18], 52            , 385           , 0
[03-29 08:48], 70            , 385           , 0
[03-29 09:18], 83            , 385           , 0
[03-29 09:48], 90            , 385           , 0
[03-29 10:18], 98            , 385           , 0
[03-29 10:48], 106           , 385           , 0
[03-29 11:18], 113           , 385           , 0
[03-29 11:48], 119           , 385           , 0
[03-29 12:18], 128           , 385           , 0
[03-29 12:48], 137           , 385           , 0
[03-29 13:18], 150           , 385           , 0
[03-29 13:48], 168           , 385           , 0
[03-29 14:18], 186           , 385           , 0
[03-29 14:48], 206           , 385           , 0
[03-29 15:18], 222           , 385           , 0
[03-29 15:48], 233           , 385           , 0
[03-29 16:18], 242           , 385           , 0
[03-29 16:48], 262           , 385           , 0
[03-29 17:18], 279           , 385           , 0
[03-29 17:48], 289           , 385           , 0
[03-29 18:18], 300           , 385           , 0
[03-29 18:48], 312           , 385           , 0
[03-29 19:18], 321           , 385           , 0
[03-29 19:48], 328           , 385           , 0
[03-29 20:18], 336           , 385           , 0
[03-29 20:48], 348           , 385           , 0
[03-29 21:18], 360           , 385           , 0
[03-29 21:48], 376           , 385           , 0
[03-29 22:18], 392           , 385           , 0
[03-29 22:48], 407           , 385           , 0
[03-29 23:18], 420           , 385           , 0
[03-29 23:48], 439           , 385           , 0
[03-30 00:18], 460           , 385           , 0
[03-30 00:48], 481           , 385           , 0
[03-30 01:18], 505           , 385           , 0
[03-30 01:48], 518           , 385           , 0
[03-30 02:18], 544           , 385           , 0
[03-30 02:48], 569           , 385           , 0
[03-30 03:18], 583           , 385           , 0
[03-30 03:48], 598           , 385           , 0
[03-30 04:18], 620           , 385           , 0
[03-30 04:48], 636           , 385           , 0
[03-30 05:18], 657           , 385           , 0
[03-30 05:48], 679           , 385           , 0
[03-30 06:18], 695           , 385           , 0
