[2025-03-30_06:48:41] Total Functions: 843, Hited Functions: 29 [ 3.440095% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:49:42] Total Functions: 844, Hited Functions: 55 [ 6.516588% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:50:43] Total Functions: 844, Hited Functions: 126 [ 14.928910% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:51:44] Total Functions: 844, Hited Functions: 139 [ 16.469194% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:52:45] Total Functions: 844, Hited Functions: 139 [ 16.469194% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:53:46] Total Functions: 844, Hited Functions: 140 [ 16.587678% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:54:47] Total Functions: 844, Hited Functions: 143 [ 16.943128% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:55:48] Total Functions: 844, Hited Functions: 148 [ 17.535545% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:56:49] Total Functions: 844, Hited Functions: 175 [ 20.734597% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:57:50] Total Functions: 844, Hited Functions: 184 [ 21.800948% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:58:51] Total Functions: 844, Hited Functions: 192 [ 22.748815% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_06:59:52] Total Functions: 844, Hited Functions: 194 [ 22.985782% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:00:53] Total Functions: 844, Hited Functions: 195 [ 23.104265% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:01:54] Total Functions: 844, Hited Functions: 196 [ 23.222749% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:02:55] Total Functions: 844, Hited Functions: 196 [ 23.222749% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:03:56] Total Functions: 844, Hited Functions: 201 [ 23.815166% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:04:57] Total Functions: 844, Hited Functions: 202 [ 23.933649% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:06:00] Total Functions: 844, Hited Functions: 205 [ 24.289100% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:07:01] Total Functions: 844, Hited Functions: 206 [ 24.407583% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:08:02] Total Functions: 844, Hited Functions: 210 [ 24.881517% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:09:03] Total Functions: 844, Hited Functions: 210 [ 24.881517% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:10:04] Total Functions: 844, Hited Functions: 212 [ 25.118483% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:11:05] Total Functions: 844, Hited Functions: 212 [ 25.118483% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:12:06] Total Functions: 844, Hited Functions: 215 [ 25.473934% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:13:07] Total Functions: 844, Hited Functions: 215 [ 25.473934% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:14:08] Total Functions: 844, Hited Functions: 215 [ 25.473934% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:15:09] Total Functions: 844, Hited Functions: 217 [ 25.710900% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:16:10] Total Functions: 844, Hited Functions: 218 [ 25.829384% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:17:11] Total Functions: 844, Hited Functions: 218 [ 25.829384% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:18:12] Total Functions: 844, Hited Functions: 218 [ 25.829384% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:19:13] Total Functions: 844, Hited Functions: 219 [ 25.947867% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:20:14] Total Functions: 844, Hited Functions: 219 [ 25.947867% ], Hited Edges: 0, Total Edges: 2852
[2025-03-30_07:21:15] Total Functions: 844, Hited Functions: 219 [ 25.947867% ], Hited Edges: 0, Total Edges: 2852
