real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[03-29 06:48], 238           , 1304          , 0
[03-29 07:18], 964           , 1482          , 0
[03-29 07:48], 1017          , 1489          , 0
[03-29 08:18], 1047          , 1489          , 0
[03-29 08:48], 1091          , 1495          , 0
[03-29 09:18], 1181          , 1523          , 0
[03-29 09:48], 1221          , 1523          , 0
[03-29 10:18], 1253          , 1523          , 0
[03-29 10:48], 1294          , 1523          , 0
[03-29 11:18], 1321          , 1525          , 0
[03-29 11:48], 1347          , 1527          , 0
[03-29 12:18], 1395          , 1527          , 0
[03-29 12:48], 1437          , 1527          , 0
[03-29 13:18], 1475          , 1528          , 0
[03-29 13:48], 1527          , 1529          , 0
[03-29 14:18], 1575          , 1530          , 0
[03-29 14:48], 1621          , 1536          , 0
[03-29 15:18], 1679          , 1538          , 0
[03-29 15:48], 1728          , 1538          , 0
[03-29 16:18], 1770          , 1541          , 0
[03-29 16:48], 1799          , 1542          , 0
[03-29 17:18], 1836          , 1543          , 0
[03-29 17:48], 1856          , 1546          , 0
[03-29 18:18], 1884          , 1546          , 0
[03-29 18:48], 1904          , 1546          , 0
[03-29 19:18], 1919          , 1547          , 0
[03-29 19:48], 1937          , 1547          , 0
[03-29 20:18], 1948          , 1547          , 0
[03-29 20:48], 1973          , 1547          , 0
[03-29 21:18], 2013          , 1549          , 0
[03-29 21:48], 2098          , 1550          , 0
[03-29 22:18], 2145          , 1551          , 0
[03-29 22:48], 2184          , 1553          , 0
[03-29 23:18], 2236          , 1554          , 0
[03-29 23:48], 2275          , 1554          , 0
[03-30 00:18], 2313          , 1554          , 0
[03-30 00:48], 2346          , 1554          , 0
[03-30 01:18], 2388          , 1554          , 0
[03-30 01:48], 2428          , 1563          , 0
[03-30 02:18], 2482          , 1563          , 0
[03-30 02:48], 2530          , 1563          , 0
[03-30 03:18], 2584          , 1564          , 0
[03-30 03:48], 2642          , 1568          , 0
[03-30 04:18], 2694          , 1570          , 0
[03-30 04:48], 2746          , 1572          , 0
[03-30 05:18], 2826          , 1574          , 0
[03-30 05:48], 2885          , 1574          , 0
[03-30 06:18], 2947          , 1578          , 0
