real_map_size: 363897
loging--time, explored-paths, covered-blocks, crashes
[02-13 16:53], 41            , 12567         , 0
[02-13 17:23], 86            , 12816         , 0
[02-13 17:53], 86            , 12816         , 0
[02-13 18:23], 86            , 12816         , 0
[02-13 18:53], 86            , 12816         , 0
[02-13 19:23], 86            , 12816         , 0
[02-13 19:53], 86            , 12816         , 0
[02-13 20:23], 86            , 12816         , 0
[02-13 20:53], 86            , 12816         , 0
[02-13 21:23], 86            , 12816         , 0
[02-13 21:53], 86            , 12816         , 0
[02-13 22:23], 86            , 12816         , 0
[02-13 22:53], 86            , 12816         , 0
[02-13 23:23], 86            , 12816         , 0
[02-13 23:53], 86            , 12816         , 0
[02-14 00:23], 86            , 12816         , 0
[02-14 00:53], 86            , 12816         , 0
[02-14 01:23], 86            , 12816         , 0
[02-14 01:53], 86            , 12816         , 0
[02-14 02:23], 86            , 12816         , 0
[02-14 02:53], 86            , 12816         , 0
[02-14 03:23], 86            , 12816         , 0
[02-14 03:53], 86            , 12816         , 0
[02-14 04:23], 86            , 12816         , 0
[02-14 04:53], 86            , 12816         , 0
[02-14 05:23], 86            , 12816         , 0
[02-14 05:53], 86            , 12816         , 0
[02-14 06:23], 86            , 12816         , 0
[02-14 06:53], 86            , 12816         , 0
[02-14 07:23], 86            , 12816         , 0
[02-14 07:53], 86            , 12816         , 0
[02-14 08:23], 86            , 12816         , 0
[02-14 08:53], 86            , 12816         , 0
[02-14 09:23], 86            , 12816         , 0
[02-14 09:53], 86            , 12816         , 0
[02-14 10:23], 86            , 12816         , 0
[02-14 10:53], 86            , 12816         , 0
[02-14 11:23], 86            , 12816         , 0
[02-14 11:53], 86            , 12816         , 0
[02-14 12:23], 86            , 12816         , 0
[02-14 12:53], 86            , 12816         , 0
[02-14 13:23], 86            , 12816         , 0
[02-14 13:53], 86            , 12816         , 0
[02-14 14:23], 86            , 12816         , 0
[02-14 14:53], 86            , 12816         , 0
[02-14 15:23], 86            , 12816         , 0
[02-14 15:53], 86            , 12816         , 0
[02-14 16:23], 86            , 12816         , 0
