real_map_size: 243410
loging--time, explored-paths, covered-blocks, crashes
[02-15 16:53], 112           , 3295          , 0
[02-15 17:23], 3286          , 6903          , 0
[02-15 17:53], 4826          , 9123          , 0
[02-15 18:23], 6349          , 10068         , 0
[02-15 18:53], 7737          , 10923         , 0
[02-15 19:23], 8612          , 11340         , 0
[02-15 19:53], 9828          , 12186         , 0
[02-15 20:23], 11766         , 16056         , 0
[02-15 20:53], 13509         , 17305         , 0
[02-15 21:23], 14578         , 17710         , 0
[02-15 21:53], 15486         , 17972         , 0
[02-15 22:23], 16216         , 18136         , 0
[02-15 22:53], 17176         , 18595         , 0
[02-15 23:23], 17828         , 18732         , 0
[02-15 23:53], 19134         , 20650         , 0
[02-16 00:23], 21920         , 24304         , 0
[02-16 00:53], 23659         , 26062         , 0
[02-16 01:23], 25108         , 26772         , 0
[02-16 01:53], 26134         , 26950         , 0
[02-16 02:23], 26601         , 27020         , 0
[02-16 02:53], 27195         , 27131         , 0
[02-16 03:23], 27446         , 27139         , 0
[02-16 03:53], 27990         , 27361         , 0
[02-16 04:23], 28187         , 27381         , 0
[02-16 04:53], 28370         , 27392         , 0
[02-16 05:23], 28616         , 27461         , 0
[02-16 05:53], 28821         , 27483         , 0
[02-16 06:23], 28993         , 27527         , 0
[02-16 06:53], 29236         , 27599         , 0
[02-16 07:23], 29411         , 27612         , 0
[02-16 07:53], 29594         , 27617         , 0
[02-16 08:23], 29690         , 27627         , 0
[02-16 08:53], 29815         , 27642         , 0
[02-16 09:23], 29929         , 27662         , 0
[02-16 09:53], 30054         , 27670         , 0
[02-16 10:23], 30323         , 28031         , 0
[02-16 10:53], 30465         , 28075         , 0
[02-16 11:23], 30956         , 28749         , 0
[02-16 11:53], 31426         , 28890         , 0
[02-16 12:23], 31735         , 29267         , 0
[02-16 12:53], 31926         , 29291         , 0
[02-16 13:23], 32071         , 29302         , 0
[02-16 13:53], 32177         , 29304         , 0
[02-16 14:23], 32258         , 29309         , 0
[02-16 14:53], 32412         , 29377         , 0
[02-16 15:23], 32523         , 29386         , 0
[02-16 15:53], 32639         , 29426         , 0
[02-16 16:23], 32687         , 29428         , 0
