[2025-03-25_03:27:27] Total Functions: 117619, Hited Functions: 476 [ 0.404697% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:28:28] Total Functions: 120127, Hited Functions: 8946 [ 7.447118% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:29:29] Total Functions: 120127, Hited Functions: 8950 [ 7.450448% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:30:30] Total Functions: 120127, Hited Functions: 8950 [ 7.450448% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:31:31] Total Functions: 120127, Hited Functions: 8950 [ 7.450448% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:32:32] Total Functions: 120146, Hited Functions: 8989 [ 7.481731% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:33:33] Total Functions: 120153, Hited Functions: 9011 [ 7.499605% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:34:34] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:35:35] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:36:36] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:37:37] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:38:38] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:39:39] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:40:40] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:41:41] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:42:42] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:43:43] Total Functions: 120153, Hited Functions: 9066 [ 7.545380% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:44:44] Total Functions: 120156, Hited Functions: 9069 [ 7.547688% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:45:45] Total Functions: 120156, Hited Functions: 9069 [ 7.547688% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:46:46] Total Functions: 120156, Hited Functions: 9069 [ 7.547688% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:47:47] Total Functions: 120156, Hited Functions: 9069 [ 7.547688% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:48:48] Total Functions: 120156, Hited Functions: 9069 [ 7.547688% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:49:49] Total Functions: 120156, Hited Functions: 9082 [ 7.558507% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:50:50] Total Functions: 120156, Hited Functions: 9082 [ 7.558507% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:51:51] Total Functions: 120156, Hited Functions: 9082 [ 7.558507% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:52:52] Total Functions: 120156, Hited Functions: 9082 [ 7.558507% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:53:53] Total Functions: 120163, Hited Functions: 9117 [ 7.587194% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:54:54] Total Functions: 120163, Hited Functions: 9117 [ 7.587194% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:55:55] Total Functions: 120163, Hited Functions: 9130 [ 7.598013% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:56:56] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:57:57] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:58:58] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_03:59:59] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:01:00] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:02:01] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:03:02] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:04:03] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:05:04] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:06:05] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:07:06] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:08:07] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:09:08] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:10:09] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:11:10] Total Functions: 120163, Hited Functions: 9133 [ 7.600509% ], Hited Edges: 0, Total Edges: 362506
