real_map_size: 362927
loging--time, explored-paths, covered-blocks, crashes
[03-25 03:28], 38            , 12594         , 0
[03-25 03:58], 222           , 13456         , 1
[03-25 04:28], 222           , 13456         , 1
[03-25 04:58], 222           , 13456         , 1
[03-25 05:28], 222           , 13456         , 1
[03-25 05:58], 222           , 13456         , 1
[03-25 06:28], 222           , 13456         , 1
[03-25 06:58], 222           , 13456         , 1
[03-25 07:28], 222           , 13456         , 1
[03-25 07:58], 222           , 13456         , 1
[03-25 08:28], 222           , 13456         , 1
[03-25 08:58], 222           , 13456         , 1
[03-25 09:28], 222           , 13456         , 1
[03-25 09:58], 222           , 13456         , 1
[03-25 10:28], 222           , 13456         , 1
[03-25 10:58], 222           , 13456         , 1
[03-25 11:28], 222           , 13456         , 1
[03-25 11:58], 222           , 13456         , 1
[03-25 12:28], 222           , 13456         , 1
[03-25 12:58], 222           , 13456         , 1
[03-25 13:28], 222           , 13456         , 1
[03-25 13:58], 222           , 13456         , 1
[03-25 14:28], 222           , 13456         , 1
[03-25 14:58], 222           , 13456         , 1
[03-25 15:28], 222           , 13456         , 1
[03-25 15:58], 222           , 13456         , 1
[03-25 16:28], 222           , 13456         , 1
[03-25 16:58], 222           , 13456         , 1
[03-25 17:28], 222           , 13456         , 1
[03-25 17:58], 222           , 13456         , 1
[03-25 18:28], 222           , 13456         , 1
[03-25 18:58], 222           , 13456         , 1
[03-25 19:28], 222           , 13456         , 1
[03-25 19:58], 222           , 13456         , 1
[03-25 20:28], 222           , 13456         , 1
[03-25 20:58], 222           , 13456         , 1
[03-25 21:28], 222           , 13456         , 1
[03-25 21:58], 222           , 13456         , 1
[03-25 22:28], 222           , 13456         , 1
[03-25 22:58], 222           , 13456         , 1
[03-25 23:28], 222           , 13456         , 1
[03-25 23:58], 222           , 13456         , 1
[03-26 00:28], 222           , 13456         , 1
[03-26 00:58], 222           , 13456         , 1
[03-26 01:28], 222           , 13456         , 1
[03-26 01:58], 222           , 13456         , 1
[03-26 02:28], 222           , 13456         , 1
[03-26 02:58], 222           , 13456         , 1
