[2025-03-25_03:32:54] Total Functions: 8192, Hited Functions: 237 [ 2.893066% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:33:55] Total Functions: 8198, Hited Functions: 571 [ 6.965113% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:38:50] Total Functions: 8198, Hited Functions: 573 [ 6.989510% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:39:51] Total Functions: 8206, Hited Functions: 598 [ 7.287351% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:40:52] Total Functions: 8206, Hited Functions: 600 [ 7.311723% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:41:53] Total Functions: 8206, Hited Functions: 605 [ 7.372654% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:42:54] Total Functions: 8206, Hited Functions: 606 [ 7.384840% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:43:55] Total Functions: 8206, Hited Functions: 606 [ 7.384840% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:44:56] Total Functions: 8206, Hited Functions: 609 [ 7.421399% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:45:57] Total Functions: 8206, Hited Functions: 609 [ 7.421399% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:46:58] Total Functions: 8207, Hited Functions: 611 [ 7.444864% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:47:59] Total Functions: 8207, Hited Functions: 611 [ 7.444864% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:49:00] Total Functions: 8207, Hited Functions: 611 [ 7.444864% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:50:01] Total Functions: 8207, Hited Functions: 612 [ 7.457049% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:51:02] Total Functions: 8207, Hited Functions: 612 [ 7.457049% ], Hited Edges: 0, Total Edges: 16416
[2025-03-25_03:52:03] Total Functions: 8207, Hited Functions: 617 [ 7.517972% ], Hited Edges: 0, Total Edges: 16416
