real_map_size: 243410
loging--time, explored-paths, covered-blocks, crashes
[03-25 03:33], 224           , 3576          , 0
[03-25 04:03], 2248          , 6251          , 0
[03-25 04:33], 2558          , 6587          , 0
[03-25 05:03], 3629          , 7337          , 0
[03-25 05:33], 4410          , 8002          , 0
[03-25 06:03], 5000          , 8337          , 0
[03-25 06:33], 5465          , 8590          , 0
[03-25 07:03], 5916          , 8827          , 0
[03-25 07:33], 6264          , 9154          , 0
[03-25 08:03], 6630          , 9495          , 0
[03-25 08:33], 7029          , 9673          , 0
[03-25 09:03], 7416          , 9984          , 0
[03-25 09:33], 7949          , 10544         , 0
[03-25 10:03], 8343          , 10775         , 0
[03-25 10:33], 8904          , 11183         , 0
[03-25 11:03], 9258          , 11439         , 0
[03-25 11:33], 9571          , 11563         , 0
[03-25 12:03], 9943          , 11639         , 0
[03-25 12:33], 10135         , 11665         , 0
[03-25 13:03], 10283         , 11708         , 0
[03-25 13:33], 10504         , 11808         , 0
[03-25 14:03], 10658         , 11865         , 0
[03-25 14:33], 10821         , 11903         , 0
[03-25 15:03], 10984         , 11923         , 0
[03-25 15:33], 11088         , 11925         , 0
[03-25 16:03], 11195         , 11957         , 0
[03-25 16:33], 11291         , 11987         , 0
[03-25 17:03], 11381         , 11992         , 0
[03-25 17:33], 11498         , 12083         , 0
[03-25 18:03], 11631         , 12106         , 0
[03-25 18:33], 11761         , 12115         , 0
[03-25 19:03], 11835         , 12284         , 0
[03-25 19:33], 11893         , 12289         , 0
[03-25 20:03], 11977         , 12290         , 0
[03-25 20:33], 12038         , 12290         , 0
[03-25 21:03], 12219         , 12322         , 0
[03-25 21:33], 12310         , 12326         , 0
[03-25 22:03], 12375         , 12326         , 0
[03-25 22:33], 12417         , 12331         , 0
[03-25 23:03], 12458         , 12331         , 0
[03-25 23:33], 12807         , 12973         , 0
[03-26 00:03], 13847         , 15230         , 0
[03-26 00:33], 14411         , 16627         , 0
[03-26 01:03], 15350         , 17621         , 0
[03-26 01:33], 16069         , 17956         , 0
[03-26 02:03], 16517         , 18115         , 0
[03-26 02:33], 17147         , 18351         , 0
[03-26 03:03], 17737         , 18521         , 0
