[2025-03-20_15:49:49] Total Functions: 780, Hited Functions: 254 [ 32.564103% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:50:50] Total Functions: 1006, Hited Functions: 533 [ 52.982107% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:51:51] Total Functions: 1043, Hited Functions: 570 [ 54.650048% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:52:52] Total Functions: 1077, Hited Functions: 604 [ 56.081708% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:53:53] Total Functions: 1080, Hited Functions: 607 [ 56.203704% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:54:54] Total Functions: 1106, Hited Functions: 635 [ 57.414105% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:55:55] Total Functions: 1177, Hited Functions: 709 [ 60.237893% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:56:56] Total Functions: 1207, Hited Functions: 739 [ 61.226181% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:57:57] Total Functions: 1210, Hited Functions: 742 [ 61.322314% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:58:58] Total Functions: 1211, Hited Functions: 743 [ 61.354253% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_15:59:59] Total Functions: 1215, Hited Functions: 747 [ 61.481481% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:01:00] Total Functions: 1217, Hited Functions: 749 [ 61.544782% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:02:01] Total Functions: 1217, Hited Functions: 749 [ 61.544782% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:03:02] Total Functions: 1217, Hited Functions: 749 [ 61.544782% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:04:03] Total Functions: 1218, Hited Functions: 750 [ 61.576355% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:05:04] Total Functions: 1219, Hited Functions: 751 [ 61.607875% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:06:05] Total Functions: 1220, Hited Functions: 752 [ 61.639344% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:07:06] Total Functions: 1220, Hited Functions: 752 [ 61.639344% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:08:07] Total Functions: 1221, Hited Functions: 753 [ 61.670762% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:09:08] Total Functions: 1222, Hited Functions: 754 [ 61.702128% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:10:09] Total Functions: 1224, Hited Functions: 756 [ 61.764706% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:11:10] Total Functions: 1224, Hited Functions: 756 [ 61.764706% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:12:11] Total Functions: 1226, Hited Functions: 758 [ 61.827080% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:13:12] Total Functions: 1226, Hited Functions: 758 [ 61.827080% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:14:13] Total Functions: 1227, Hited Functions: 759 [ 61.858191% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:15:14] Total Functions: 1229, Hited Functions: 761 [ 61.920260% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:16:15] Total Functions: 1232, Hited Functions: 764 [ 62.012987% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:17:16] Total Functions: 1232, Hited Functions: 764 [ 62.012987% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:18:17] Total Functions: 1232, Hited Functions: 764 [ 62.012987% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:19:18] Total Functions: 1233, Hited Functions: 765 [ 62.043796% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:20:19] Total Functions: 1233, Hited Functions: 765 [ 62.043796% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:21:20] Total Functions: 1233, Hited Functions: 765 [ 62.043796% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:22:21] Total Functions: 1233, Hited Functions: 765 [ 62.043796% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:23:22] Total Functions: 1233, Hited Functions: 765 [ 62.043796% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:24:23] Total Functions: 1233, Hited Functions: 765 [ 62.043796% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:25:24] Total Functions: 1234, Hited Functions: 766 [ 62.074554% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:26:25] Total Functions: 1234, Hited Functions: 766 [ 62.074554% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:27:26] Total Functions: 1234, Hited Functions: 766 [ 62.074554% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:28:27] Total Functions: 1234, Hited Functions: 766 [ 62.074554% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:29:28] Total Functions: 1234, Hited Functions: 766 [ 62.074554% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:30:29] Total Functions: 1234, Hited Functions: 766 [ 62.074554% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:31:30] Total Functions: 1235, Hited Functions: 767 [ 62.105263% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:32:31] Total Functions: 1237, Hited Functions: 769 [ 62.166532% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:33:32] Total Functions: 1237, Hited Functions: 769 [ 62.166532% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:34:33] Total Functions: 1243, Hited Functions: 775 [ 62.349155% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:35:34] Total Functions: 1246, Hited Functions: 778 [ 62.439807% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:36:35] Total Functions: 1246, Hited Functions: 778 [ 62.439807% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:37:36] Total Functions: 1250, Hited Functions: 782 [ 62.560000% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:38:37] Total Functions: 1251, Hited Functions: 783 [ 62.589928% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:39:38] Total Functions: 1251, Hited Functions: 783 [ 62.589928% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:40:39] Total Functions: 1252, Hited Functions: 784 [ 62.619808% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:41:40] Total Functions: 1252, Hited Functions: 784 [ 62.619808% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:42:41] Total Functions: 1252, Hited Functions: 784 [ 62.619808% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:43:42] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:44:43] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:45:44] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:46:45] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:47:46] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:48:47] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:49:48] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:50:49] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:51:50] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:52:51] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:53:52] Total Functions: 1253, Hited Functions: 785 [ 62.649641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:54:53] Total Functions: 1256, Hited Functions: 788 [ 62.738854% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:55:54] Total Functions: 1256, Hited Functions: 788 [ 62.738854% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:56:55] Total Functions: 1256, Hited Functions: 788 [ 62.738854% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:57:56] Total Functions: 1256, Hited Functions: 788 [ 62.738854% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:58:57] Total Functions: 1259, Hited Functions: 791 [ 62.827641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_16:59:58] Total Functions: 1259, Hited Functions: 791 [ 62.827641% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_17:00:59] Total Functions: 1259, Hited Functions: 792 [ 62.907069% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_17:02:00] Total Functions: 1259, Hited Functions: 792 [ 62.907069% ], Hited Edges: 0, Total Edges: 2056
[2025-03-20_17:03:01] Total Functions: 1259, Hited Functions: 792 [ 62.907069% ], Hited Edges: 0, Total Edges: 2056
