real_map_size: 81502
loging--time, explored-paths, covered-blocks, crashes
[03-20 15:50], 25            , 2477          , 0
[03-20 16:20], 724           , 3797          , 0
[03-20 16:50], 1050          , 3997          , 0
[03-20 17:20], 1325          , 4127          , 0
[03-20 17:50], 1444          , 4174          , 0
[03-20 18:20], 1568          , 4241          , 0
[03-20 18:50], 1637          , 4254          , 0
[03-20 19:20], 1791          , 4275          , 0
[03-20 19:50], 1867          , 4278          , 0
[03-20 20:20], 1907          , 4284          , 0
[03-20 20:50], 1970          , 4304          , 0
[03-20 21:20], 2012          , 4313          , 0
[03-20 21:50], 2056          , 4325          , 0
[03-20 22:20], 2069          , 4328          , 0
[03-20 22:50], 2094          , 4339          , 0
[03-20 23:20], 2113          , 4343          , 0
[03-20 23:50], 2132          , 4347          , 0
[03-21 00:20], 2181          , 4352          , 0
[03-21 00:50], 2228          , 4366          , 0
[03-21 01:20], 2268          , 4371          , 0
[03-21 01:50], 2287          , 4371          , 0
[03-21 02:20], 2308          , 4371          , 0
[03-21 02:50], 2324          , 4373          , 0
[03-21 03:20], 2343          , 4375          , 0
[03-21 03:50], 2361          , 4378          , 0
[03-21 04:20], 2364          , 4379          , 0
[03-21 04:50], 2434          , 4448          , 0
[03-21 05:20], 2452          , 4458          , 0
[03-21 05:50], 2464          , 4462          , 0
[03-21 06:20], 2473          , 4462          , 0
[03-21 06:50], 2491          , 4462          , 0
[03-21 07:20], 2512          , 4466          , 0
[03-21 07:50], 2534          , 4468          , 0
[03-21 08:20], 2547          , 4468          , 0
[03-21 08:50], 2565          , 4468          , 0
[03-21 09:20], 2580          , 4468          , 0
[03-21 09:50], 2589          , 4469          , 0
[03-21 10:20], 2604          , 4472          , 0
[03-21 10:50], 2618          , 4472          , 0
[03-21 11:20], 2636          , 4475          , 0
[03-21 11:50], 2649          , 4479          , 0
[03-21 12:20], 2665          , 4482          , 0
[03-21 12:50], 2681          , 4483          , 0
[03-21 13:20], 2705          , 4487          , 0
[03-21 13:50], 2715          , 4490          , 0
[03-21 14:20], 2725          , 4490          , 0
[03-21 14:50], 2760          , 4490          , 0
[03-21 15:20], 2772          , 4490          , 0
