[2025-03-20_15:49:45] Total Functions: 462, Hited Functions: 44 [ 9.523810% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:50:46] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:51:47] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:52:48] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:53:49] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:54:50] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:55:51] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:56:52] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:57:53] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:58:54] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_15:59:55] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:00:56] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:01:57] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:02:58] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:03:59] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:05:00] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:06:01] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:07:02] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:08:03] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:09:04] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:10:05] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-20_16:11:06] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
