real_map_size: 7027
loging--time, explored-paths, covered-blocks, crashes
[03-20 15:50], 119           , 411           , 0
[03-20 16:20], 320           , 480           , 0
[03-20 16:50], 350           , 481           , 0
[03-20 17:20], 375           , 481           , 0
[03-20 17:50], 387           , 481           , 0
[03-20 18:20], 397           , 481           , 0
[03-20 18:50], 405           , 481           , 0
[03-20 19:20], 409           , 481           , 0
[03-20 19:50], 418           , 481           , 0
[03-20 20:20], 422           , 481           , 0
[03-20 20:50], 428           , 481           , 0
[03-20 21:20], 435           , 481           , 0
[03-20 21:50], 445           , 481           , 0
[03-20 22:20], 446           , 481           , 0
[03-20 22:50], 449           , 481           , 0
[03-20 23:20], 451           , 481           , 0
[03-20 23:50], 454           , 481           , 0
[03-21 00:20], 454           , 481           , 0
[03-21 00:50], 457           , 481           , 0
[03-21 01:20], 462           , 481           , 0
[03-21 01:50], 468           , 481           , 0
[03-21 02:20], 469           , 481           , 0
[03-21 02:50], 469           , 481           , 0
[03-21 03:20], 471           , 481           , 0
[03-21 03:50], 472           , 481           , 0
[03-21 04:20], 472           , 481           , 0
[03-21 04:50], 473           , 481           , 0
[03-21 05:20], 475           , 481           , 0
[03-21 05:50], 475           , 481           , 0
[03-21 06:20], 479           , 485           , 0
[03-21 06:50], 481           , 485           , 0
[03-21 07:20], 481           , 485           , 0
[03-21 07:50], 481           , 485           , 0
[03-21 08:20], 481           , 485           , 0
[03-21 08:50], 481           , 485           , 0
[03-21 09:20], 483           , 485           , 0
[03-21 09:50], 486           , 485           , 0
[03-21 10:20], 486           , 485           , 0
[03-21 10:50], 486           , 485           , 0
[03-21 11:20], 486           , 485           , 0
[03-21 11:50], 487           , 485           , 0
[03-21 12:20], 487           , 485           , 0
[03-21 12:50], 490           , 485           , 0
[03-21 13:20], 493           , 485           , 0
[03-21 13:50], 493           , 485           , 0
[03-21 14:20], 493           , 485           , 0
[03-21 14:50], 493           , 485           , 0
[03-21 15:20], 493           , 485           , 0
