[2025-03-20_15:49:49] Total Functions: 2325, Hited Functions: 160 [ 6.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:50:50] Total Functions: 2325, Hited Functions: 326 [ 14.021505% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:51:51] Total Functions: 2325, Hited Functions: 327 [ 14.064516% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:52:52] Total Functions: 2325, Hited Functions: 327 [ 14.064516% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:53:53] Total Functions: 2325, Hited Functions: 327 [ 14.064516% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:54:54] Total Functions: 2325, Hited Functions: 334 [ 14.365591% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:55:55] Total Functions: 2325, Hited Functions: 339 [ 14.580645% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:56:56] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:57:57] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:58:58] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_15:59:59] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:01:00] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:02:01] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:03:02] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:04:03] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:05:04] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:06:05] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:07:06] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:08:07] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:09:08] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-20_16:10:09] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
