real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[03-20 15:50], 813           , 2799          , 0
[03-20 16:20], 3993          , 4008          , 0
[03-20 16:50], 4878          , 4066          , 0
[03-20 17:20], 5483          , 4107          , 0
[03-20 17:50], 5933          , 4173          , 0
[03-20 18:20], 6301          , 4180          , 0
[03-20 18:50], 6607          , 4213          , 0
[03-20 19:20], 6797          , 4221          , 0
[03-20 19:50], 6944          , 4224          , 0
[03-20 20:20], 7025          , 4225          , 0
[03-20 20:50], 7108          , 4228          , 0
[03-20 21:20], 7199          , 4228          , 0
[03-20 21:50], 7316          , 4232          , 0
[03-20 22:20], 7389          , 4235          , 0
[03-20 22:50], 7461          , 4238          , 0
[03-20 23:20], 7577          , 4254          , 0
[03-20 23:50], 7660          , 4259          , 0
[03-21 00:20], 7939          , 4502          , 0
[03-21 00:50], 8081          , 4529          , 0
[03-21 01:20], 8162          , 4530          , 0
[03-21 01:50], 8222          , 4531          , 0
[03-21 02:20], 8289          , 4550          , 0
[03-21 02:50], 8371          , 4553          , 0
[03-21 03:20], 8419          , 4557          , 0
[03-21 03:50], 8419          , 4557          , 0
[03-21 04:20], 8419          , 4557          , 0
[03-21 04:50], 8419          , 4557          , 0
[03-21 05:20], 8419          , 4557          , 0
[03-21 05:50], 8419          , 4557          , 0
[03-21 06:20], 8419          , 4557          , 0
[03-21 06:50], 8419          , 4557          , 0
[03-21 07:20], 8419          , 4557          , 0
[03-21 07:50], 8419          , 4557          , 0
[03-21 08:20], 8419          , 4557          , 0
[03-21 08:50], 8419          , 4557          , 0
[03-21 09:20], 8419          , 4557          , 0
[03-21 09:50], 8419          , 4557          , 0
[03-21 10:20], 8419          , 4557          , 0
[03-21 10:50], 8419          , 4557          , 0
[03-21 11:20], 8419          , 4557          , 0
[03-21 11:50], 8419          , 4557          , 0
[03-21 12:20], 8419          , 4557          , 0
[03-21 12:50], 8419          , 4557          , 0
[03-21 13:20], 8419          , 4557          , 0
[03-21 13:50], 8419          , 4557          , 0
[03-21 14:20], 8419          , 4557          , 0
[03-21 14:50], 8419          , 4557          , 0
[03-21 15:20], 8419          , 4557          , 0
