[2025-03-21_15:50:09] Total Functions: 89, Hited Functions: 15 [ 16.853933% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_15:51:10] Total Functions: 89, Hited Functions: 17 [ 19.101124% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_15:55:46] Total Functions: 89, Hited Functions: 17 [ 19.101124% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_15:56:47] Total Functions: 89, Hited Functions: 18 [ 20.224719% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_15:57:48] Total Functions: 89, Hited Functions: 18 [ 20.224719% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_15:58:49] Total Functions: 89, Hited Functions: 18 [ 20.224719% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_15:59:50] Total Functions: 89, Hited Functions: 18 [ 20.224719% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:00:51] Total Functions: 89, Hited Functions: 18 [ 20.224719% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:01:52] Total Functions: 89, Hited Functions: 18 [ 20.224719% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:02:53] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:03:54] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:04:55] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:05:56] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:06:57] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:07:58] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:08:59] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:10:00] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:14:20] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:15:21] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:20:14] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:21:15] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:22:16] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:23:17] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:24:18] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:25:19] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:26:20] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:27:21] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:28:22] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:29:23] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:30:24] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:31:25] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
[2025-03-21_16:32:26] Total Functions: 89, Hited Functions: 19 [ 21.348315% ], Hited Edges: 0, Total Edges: 108
