real_map_size: 676
loging--time, explored-paths, covered-blocks, crashes
[03-21 15:50], 132           , 142           , 0
[03-21 16:20], 454           , 230           , 0
[03-21 16:50], 539           , 231           , 0
[03-21 17:20], 579           , 231           , 0
[03-21 17:50], 652           , 231           , 0
[03-21 18:20], 666           , 231           , 0
[03-21 18:50], 674           , 231           , 0
[03-21 19:20], 676           , 231           , 0
[03-21 19:50], 679           , 231           , 0
[03-21 20:20], 686           , 231           , 0
[03-21 20:50], 689           , 231           , 0
[03-21 21:20], 692           , 231           , 0
[03-21 21:50], 693           , 231           , 0
[03-21 22:20], 693           , 231           , 0
[03-21 22:50], 693           , 231           , 0
[03-21 23:20], 693           , 231           , 0
[03-21 23:50], 693           , 231           , 0
[03-22 00:20], 693           , 231           , 0
[03-22 00:50], 693           , 231           , 0
[03-22 01:20], 693           , 231           , 0
[03-22 01:50], 693           , 231           , 0
[03-22 02:20], 693           , 231           , 0
[03-22 02:50], 693           , 231           , 0
[03-22 03:20], 693           , 231           , 0
[03-22 03:50], 693           , 231           , 0
[03-22 04:20], 693           , 231           , 0
[03-22 04:50], 693           , 231           , 0
[03-22 05:20], 693           , 231           , 0
[03-22 05:50], 693           , 231           , 0
[03-22 06:20], 693           , 231           , 0
[03-22 06:50], 693           , 231           , 0
[03-22 07:20], 693           , 231           , 0
[03-22 07:50], 693           , 231           , 0
[03-22 08:20], 693           , 231           , 0
[03-22 08:50], 693           , 231           , 0
[03-22 09:20], 693           , 231           , 0
[03-22 09:50], 693           , 231           , 0
[03-22 10:20], 693           , 231           , 0
[03-22 10:50], 693           , 231           , 0
[03-22 11:20], 693           , 231           , 0
[03-22 11:50], 693           , 231           , 0
[03-22 12:20], 693           , 231           , 0
[03-22 12:50], 693           , 231           , 0
[03-22 13:20], 693           , 231           , 0
[03-22 13:50], 693           , 231           , 0
[03-22 14:20], 693           , 231           , 0
[03-22 14:50], 693           , 231           , 0
[03-22 15:20], 693           , 231           , 0
