real_map_size: 1612
loging--time, explored-paths, covered-blocks, crashes
[03-20 15:50], 107           , 285           , 0
[03-20 16:20], 291           , 312           , 0
[03-20 16:50], 303           , 314           , 0
[03-20 17:20], 307           , 316           , 0
[03-20 17:50], 308           , 316           , 0
[03-20 18:20], 309           , 316           , 0
[03-20 18:50], 309           , 316           , 0
[03-20 19:20], 310           , 317           , 0
[03-20 19:50], 310           , 317           , 0
[03-20 20:20], 310           , 317           , 0
[03-20 20:50], 311           , 317           , 0
[03-20 21:20], 312           , 317           , 0
[03-20 21:50], 312           , 317           , 0
[03-20 22:20], 312           , 317           , 0
[03-20 22:50], 312           , 317           , 0
[03-20 23:20], 312           , 317           , 0
[03-20 23:50], 312           , 317           , 0
[03-21 00:20], 312           , 317           , 0
[03-21 00:50], 312           , 317           , 0
[03-21 01:20], 312           , 317           , 0
[03-21 01:50], 312           , 317           , 0
[03-21 02:20], 312           , 317           , 0
[03-21 02:50], 312           , 317           , 0
[03-21 03:20], 312           , 317           , 0
[03-21 03:50], 312           , 317           , 0
[03-21 04:20], 312           , 317           , 0
[03-21 04:50], 312           , 317           , 0
[03-21 05:20], 312           , 317           , 0
[03-21 05:50], 312           , 317           , 0
[03-21 06:20], 312           , 317           , 0
[03-21 06:50], 312           , 317           , 0
[03-21 07:20], 312           , 317           , 0
[03-21 07:50], 312           , 317           , 0
[03-21 08:20], 312           , 317           , 0
[03-21 08:50], 312           , 317           , 0
[03-21 09:20], 312           , 317           , 0
[03-21 09:50], 312           , 317           , 0
[03-21 10:20], 312           , 317           , 0
[03-21 10:50], 312           , 317           , 0
[03-21 11:20], 312           , 317           , 0
[03-21 11:50], 312           , 317           , 0
[03-21 12:20], 312           , 317           , 0
[03-21 12:50], 312           , 317           , 0
[03-21 13:20], 312           , 317           , 0
[03-21 13:50], 312           , 317           , 0
[03-21 14:20], 312           , 317           , 0
[03-21 14:50], 312           , 317           , 0
[03-21 15:20], 312           , 317           , 0
