real_map_size: 17572
loging--time, explored-paths, covered-blocks, crashes
[03-22 15:51], 13            , 385           , 0
[03-22 16:21], 13            , 385           , 0
[03-22 16:51], 13            , 385           , 0
[03-22 17:21], 13            , 385           , 0
[03-22 17:51], 13            , 385           , 0
[03-22 18:21], 13            , 385           , 0
[03-22 18:51], 13            , 385           , 0
[03-22 19:21], 13            , 385           , 0
[03-22 19:51], 13            , 385           , 0
[03-22 20:21], 13            , 385           , 0
[03-22 20:51], 13            , 385           , 0
[03-22 21:21], 13            , 385           , 0
[03-22 21:51], 13            , 385           , 0
[03-22 22:21], 13            , 385           , 0
[03-22 22:51], 13            , 385           , 0
[03-22 23:21], 13            , 385           , 0
[03-22 23:51], 13            , 385           , 0
[03-23 00:21], 13            , 385           , 0
[03-23 00:51], 13            , 385           , 0
[03-23 01:21], 13            , 385           , 0
[03-23 01:51], 13            , 385           , 0
[03-23 02:21], 13            , 385           , 0
[03-23 02:51], 13            , 385           , 0
[03-23 03:21], 13            , 385           , 0
[03-23 03:51], 13            , 385           , 0
[03-23 04:21], 13            , 385           , 0
[03-23 04:51], 13            , 385           , 0
[03-23 05:21], 13            , 385           , 0
[03-23 05:51], 13            , 385           , 0
[03-23 06:21], 13            , 385           , 0
[03-23 06:51], 13            , 385           , 0
[03-23 07:21], 13            , 385           , 0
[03-23 07:51], 13            , 385           , 0
[03-23 08:21], 13            , 385           , 0
[03-23 08:51], 13            , 385           , 0
[03-23 09:21], 13            , 385           , 0
[03-23 09:51], 13            , 385           , 0
[03-23 10:21], 13            , 385           , 0
[03-23 10:51], 13            , 385           , 0
[03-23 11:21], 13            , 385           , 0
[03-23 11:51], 13            , 385           , 0
[03-23 12:21], 13            , 385           , 0
[03-23 12:51], 13            , 385           , 0
[03-23 13:21], 13            , 385           , 0
[03-23 13:51], 13            , 385           , 0
[03-23 14:21], 13            , 385           , 0
[03-23 14:51], 13            , 385           , 0
[03-23 15:21], 13            , 385           , 0
