[2025-03-21_15:50:07] Total Functions: 1953, Hited Functions: 69 [ 3.533026% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:51:08] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:52:09] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:53:10] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:54:11] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:55:12] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:56:13] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:57:14] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:58:15] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_15:59:16] Total Functions: 1955, Hited Functions: 156 [ 7.979540% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:00:17] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:01:18] Total Functions: 1955, Hited Functions: 176 [ 9.002558% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:02:19] Total Functions: 1955, Hited Functions: 176 [ 9.002558% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:03:20] Total Functions: 1955, Hited Functions: 177 [ 9.053708% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:04:21] Total Functions: 1955, Hited Functions: 179 [ 9.156010% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:05:22] Total Functions: 1955, Hited Functions: 186 [ 9.514066% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:06:23] Total Functions: 1955, Hited Functions: 189 [ 9.667519% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:07:24] Total Functions: 1955, Hited Functions: 193 [ 9.872123% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:08:25] Total Functions: 1955, Hited Functions: 193 [ 9.872123% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:09:26] Total Functions: 1955, Hited Functions: 193 [ 9.872123% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:10:27] Total Functions: 1955, Hited Functions: 194 [ 9.923274% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:11:28] Total Functions: 1955, Hited Functions: 195 [ 9.974425% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:12:29] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:13:30] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:14:31] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:15:32] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:16:33] Total Functions: 1957, Hited Functions: 199 [ 10.168625% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:17:34] Total Functions: 1957, Hited Functions: 199 [ 10.168625% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:18:35] Total Functions: 1957, Hited Functions: 200 [ 10.219724% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:19:36] Total Functions: 1957, Hited Functions: 200 [ 10.219724% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:20:37] Total Functions: 1957, Hited Functions: 200 [ 10.219724% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:21:38] Total Functions: 1957, Hited Functions: 201 [ 10.270823% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:22:39] Total Functions: 1957, Hited Functions: 201 [ 10.270823% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:23:40] Total Functions: 1957, Hited Functions: 201 [ 10.270823% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:24:41] Total Functions: 1957, Hited Functions: 201 [ 10.270823% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:25:42] Total Functions: 1957, Hited Functions: 201 [ 10.270823% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:26:43] Total Functions: 1957, Hited Functions: 202 [ 10.321921% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:27:44] Total Functions: 1957, Hited Functions: 203 [ 10.373020% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:28:46] Total Functions: 1957, Hited Functions: 203 [ 10.373020% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:29:47] Total Functions: 1957, Hited Functions: 203 [ 10.373020% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:30:48] Total Functions: 1957, Hited Functions: 203 [ 10.373020% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:31:49] Total Functions: 1957, Hited Functions: 204 [ 10.424119% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:32:50] Total Functions: 1957, Hited Functions: 204 [ 10.424119% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:33:51] Total Functions: 1957, Hited Functions: 204 [ 10.424119% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:34:52] Total Functions: 1957, Hited Functions: 204 [ 10.424119% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:35:53] Total Functions: 1957, Hited Functions: 204 [ 10.424119% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:36:54] Total Functions: 1957, Hited Functions: 204 [ 10.424119% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:37:55] Total Functions: 1957, Hited Functions: 204 [ 10.424119% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:38:56] Total Functions: 1957, Hited Functions: 207 [ 10.577414% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:39:57] Total Functions: 1957, Hited Functions: 213 [ 10.884006% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:40:58] Total Functions: 1957, Hited Functions: 213 [ 10.884006% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:42:00] Total Functions: 1957, Hited Functions: 213 [ 10.884006% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:43:10] Total Functions: 1957, Hited Functions: 213 [ 10.884006% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:44:11] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:45:12] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:46:13] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:47:14] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:49:25] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:50:26] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:51:27] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:52:28] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:53:29] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:54:30] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:55:31] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
[2025-03-21_16:56:32] Total Functions: 1957, Hited Functions: 214 [ 10.935105% ], Hited Edges: 0, Total Edges: 3666
