real_map_size: 14161
loging--time, explored-paths, covered-blocks, crashes
[03-21 15:50], 180           , 2121          , 7
[03-21 16:20], 1779          , 4487          , 750
[03-21 16:50], 2385          , 5130          , 1262
[03-21 17:20], 2783          , 5292          , 1716
[03-21 17:50], 3146          , 5367          , 2144
[03-21 18:20], 3440          , 5487          , 2791
[03-21 18:50], 3621          , 5551          , 3036
[03-21 19:20], 3831          , 5581          , 3399
[03-21 19:50], 3953          , 5604          , 3619
[03-21 20:20], 4125          , 5636          , 3858
[03-21 20:50], 4240          , 5650          , 4024
[03-21 21:20], 4403          , 5658          , 4309
[03-21 21:50], 4476          , 5668          , 4530
[03-21 22:20], 4515          , 5676          , 4753
[03-21 22:50], 4618          , 5690          , 5285
[03-21 23:20], 4669          , 5703          , 5422
[03-21 23:50], 4808          , 5797          , 5536
[03-22 00:20], 4862          , 5807          , 5736
[03-22 00:50], 4927          , 5823          , 5909
[03-22 01:20], 4963          , 5824          , 6012
[03-22 01:50], 5007          , 5825          , 6181
[03-22 02:20], 5151          , 5830          , 6389
[03-22 02:50], 5302          , 5831          , 6539
[03-22 03:20], 5593          , 5834          , 6725
[03-22 03:50], 5775          , 5837          , 6862
[03-22 04:20], 5861          , 5844          , 7021
[03-22 04:50], 5963          , 5847          , 7163
[03-22 05:20], 6044          , 5855          , 7282
[03-22 05:50], 6101          , 5857          , 7407
[03-22 06:20], 6181          , 5860          , 7547
[03-22 06:50], 6271          , 5865          , 7657
[03-22 07:20], 6329          , 5867          , 7736
[03-22 07:50], 6388          , 5868          , 7835
[03-22 08:20], 6501          , 5935          , 8049
[03-22 08:50], 6621          , 5946          , 8319
[03-22 09:20], 6694          , 5964          , 8451
[03-22 09:50], 6755          , 5971          , 8634
[03-22 10:20], 6827          , 5980          , 8815
[03-22 10:50], 6866          , 5980          , 8945
[03-22 11:20], 6885          , 5982          , 9079
[03-22 11:50], 6926          , 5984          , 9164
[03-22 12:20], 6968          , 5984          , 9264
[03-22 12:50], 7026          , 5986          , 9358
[03-22 13:20], 7072          , 5986          , 9509
[03-22 13:50], 7144          , 5991          , 9882
[03-22 14:20], 7211          , 5995          , 10133
[03-22 14:50], 7236          , 5995          , 10250
[03-22 15:20], 7264          , 5999          , 10401
